coeff,value.name,Mean.Params,sd,n,SE.params
a,Estimate,11.0565815657861,5.527274038218527,923,NA
a,Std. Error,5.45297446376452,2.70911794176882,923,1.4027540652880135
b,Estimate,0.5632452868774797,0.05550595329189385,923,NA
b,Std. Error,0.052607166872034865,0.00888086297691078,923,0.011064213159263894
model.summary,Iterations,5.681473456121344,2.370817059910247,923,NA
model.summary,resid.sum.sqrs,0.645171667875742,0.22571860992767517,923,NA
model.summary,sigma,0.16496484819142584,0.028955989683487508,923,NA
model.summary,total.cor,0.7880070137044589,0.06387333168371191,923,NA
