value.name,coeff,Model,Value
sigma,model.summary,model_1,0.05772055356554168
resid.sum.sqrs,model.summary,model_1,0.07662823298998901
total.cor,model.summary,model_1,0.9300102651250708
Iterations,model.summary,model_1,12
Estimate,a,model_1,264.41860066916394
Estimate,b,model_1,0.4847993184842686
Std. Error,a,model_1,88.99837496792158
Std. Error,b,model_1,0.049224616748775187
t value,a,model_1,2.9710497609026065
t value,b,model_1,9.8487169734304
Pr(>|t|),a,model_1,0.006839085368127927
Pr(>|t|),b,model_1,1.0184287735442579e-9
sigma,model.summary,model_2,0.04984704265885578
resid.sum.sqrs,model.summary,model_2,0.05714873622217711
total.cor,model.summary,model_2,0.9026292390236307
Iterations,model.summary,model_2,10
Estimate,a,model_2,91.29893044749592
Estimate,b,model_2,0.3092759384201524
Std. Error,a,model_2,34.707438617074786
Std. Error,b,model_2,0.031821522582531514
t value,a,model_2,2.6305291915889235
t value,b,model_2,9.719080462539841
Pr(>|t|),a,model_2,0.014950095632499376
Pr(>|t|),b,model_2,1.3051218158427048e-9
sigma,model.summary,model_3,0.09230639567612145
resid.sum.sqrs,model.summary,model_3,0.19597082570248392
total.cor,model.summary,model_3,0.7176851409854038
Iterations,model.summary,model_3,13
Estimate,a,model_3,13.185161245781126
Estimate,b,model_3,0.2598214013782765
Std. Error,a,model_3,8.251174417593562
Std. Error,b,model_3,0.03903282410996687
t value,a,model_3,1.5979738857134171
t value,b,model_3,6.65648482534299
Pr(>|t|),a,model_3,0.12369772051816258
Pr(>|t|),b,model_3,8.621213868927204e-7
sigma,model.summary,model_4,0.06414976456185358
resid.sum.sqrs,model.summary,model_4,0.09464942274684864
total.cor,model.summary,model_4,0.8941283241533318
Iterations,model.summary,model_4,10
Estimate,a,model_4,89.90743126945004
Estimate,b,model_4,0.3805865788413635
Std. Error,a,model_4,35.693730557143425
Std. Error,b,model_4,0.040812303312034746
t value,a,model_4,2.518857790040015
t value,b,model_4,9.325290364808595
Pr(>|t|),a,model_4,0.01917838442514403
Pr(>|t|),b,model_4,2.8083358278430464e-9
sigma,model.summary,model_5,0.05009764939262233
resid.sum.sqrs,model.summary,model_5,0.05772481291732059
total.cor,model.summary,model_5,0.9151460305848502
Iterations,model.summary,model_5,7
Estimate,a,model_5,29.28536360249142
Estimate,b,model_5,0.30637738458512237
Std. Error,a,model_5,9.977660508631962
Std. Error,b,model_5,0.02491138922043768
t value,a,model_5,2.935093209190251
t value,b,model_5,12.2986872339406
Pr(>|t|),a,model_5,0.007438517459310587
Pr(>|t|),b,model_5,1.3509852277797946e-11
sigma,model.summary,model_6,0.06795377933042393
resid.sum.sqrs,model.summary,model_6,0.10620747088162286
total.cor,model.summary,model_6,0.8951532476938807
Iterations,model.summary,model_6,14
Estimate,a,model_6,249.3309058651422
Estimate,b,model_6,0.4433096084853902
Std. Error,a,model_6,106.10338815637571
Std. Error,b,model_6,0.05668477704085545
t value,a,model_6,2.349886372126751
t value,b,model_6,7.820611310967592
Pr(>|t|),a,model_6,0.027731587124969582
Pr(>|t|),b,model_6,6.315246243149414e-8
sigma,model.summary,model_7,0.06555704544203798
resid.sum.sqrs,model.summary,model_7,0.09884770276305697
total.cor,model.summary,model_7,0.9222037264399149
Iterations,model.summary,model_7,11
Estimate,a,model_7,245.87725876789366
Estimate,b,model_7,0.5035739864796582
Std. Error,a,model_7,88.49950270582875
Std. Error,b,model_7,0.05440941448601492
t value,a,model_7,2.7782897219794176
t value,b,model_7,9.255273030168226
Pr(>|t|),a,model_7,0.010689496309449835
Pr(>|t|),b,model_7,3.2248731410779336e-9
sigma,model.summary,model_8,0.06499827551426551
resid.sum.sqrs,model.summary,model_8,0.09716984385605246
total.cor,model.summary,model_8,0.9008336438483746
Iterations,model.summary,model_8,14
Estimate,a,model_8,98.83625047659493
Estimate,b,model_8,0.4038250183157811
Std. Error,a,model_8,37.80100282340172
Std. Error,b,model_8,0.04223700506115492
t value,a,model_8,2.614646255241877
t value,b,model_8,9.560929278273477
Pr(>|t|),a,model_8,0.015492960394682542
Pr(>|t|),b,model_8,1.771296852029705e-9
sigma,model.summary,model_9,0.09043643734892089
resid.sum.sqrs,model.summary,model_9,0.18811123160840174
total.cor,model.summary,model_9,0.8240486570643226
Iterations,model.summary,model_9,17
Estimate,a,model_9,155.4964940757317
Estimate,b,model_9,0.42989629198521234
Std. Error,a,model_9,81.98770263800328
Std. Error,b,model_9,0.06542266357380078
t value,a,model_9,1.8965831346962918
t value,b,model_9,6.571060676859525
Pr(>|t|),a,model_9,0.0705123523441144
Pr(>|t|),b,model_9,1.0515768935356577e-6
sigma,model.summary,model_10,0.039576804750187045
resid.sum.sqrs,model.summary,model_10,0.03602543990739184
total.cor,model.summary,model_10,0.9361105236794551
Iterations,model.summary,model_10,13
Estimate,a,model_10,46.134309636220955
Estimate,b,model_10,0.2898458273183279
Std. Error,a,model_10,13.951593133258422
Std. Error,b,model_10,0.02174740629955542
t value,a,model_10,3.3067413302244284
t value,b,model_10,13.327834286346746
Pr(>|t|),a,model_10,0.0030798136127882436
Pr(>|t|),b,model_10,2.6476576380447e-12
sigma,model.summary,model_11,0.05463383062649474
resid.sum.sqrs,model.summary,model_11,0.06865167532526384
total.cor,model.summary,model_11,0.9259211665427405
Iterations,model.summary,model_11,11
Estimate,a,model_11,123.95457039891143
Estimate,b,model_11,0.4061606072630081
Std. Error,a,model_11,40.56170878060793
Std. Error,b,model_11,0.03739306037416606
t value,a,model_11,3.0559504055749405
t value,b,model_11,10.861924731456709
Pr(>|t|),a,model_11,0.005601765978530542
Pr(>|t|),b,model_11,1.5711287091531948e-10
sigma,model.summary,model_12,0.07340062429533749
resid.sum.sqrs,model.summary,model_12,0.12391598787974163
total.cor,model.summary,model_12,0.7874713706766766
Iterations,model.summary,model_12,8
Estimate,a,model_12,22.565825616811114
Estimate,b,model_12,0.2510326939835271
Std. Error,a,model_12,13.095370606433221
Std. Error,b,model_12,0.03449346920996796
t value,a,model_12,1.723191064613738
t value,b,model_12,7.277687624154181
Pr(>|t|),a,model_12,0.09827403844798115
Pr(>|t|),b,model_12,2.0904331654166718e-7
sigma,model.summary,model_13,0.04969490813249747
resid.sum.sqrs,model.summary,model_13,0.05680042956883936
total.cor,model.summary,model_13,0.9226544651470892
Iterations,model.summary,model_13,9
Estimate,a,model_13,37.61410191197571
Estimate,b,model_13,0.3249494808490088
Std. Error,a,model_13,12.437674007777913
Std. Error,b,model_13,0.02611025752828531
t value,a,model_13,3.0242070895614157
t value,b,model_13,12.44528057591888
Pr(>|t|),a,model_13,0.006036895385773462
Pr(>|t|),b,model_13,1.0644959613082136e-11
sigma,model.summary,model_14,0.048246119753245685
resid.sum.sqrs,model.summary,model_14,0.05353682563862404
total.cor,model.summary,model_14,0.9135041783929508
Iterations,model.summary,model_14,14
Estimate,a,model_14,48.76261488287666
Estimate,b,model_14,0.30373123359673787
Std. Error,a,model_14,17.25454472337192
Std. Error,b,model_14,0.026834789775668513
t value,a,model_14,2.826073690418843
t value,b,model_14,11.318562065730633
Pr(>|t|),a,model_14,0.009577815023825837
Pr(>|t|),b,model_14,7.03309022659435e-11
sigma,model.summary,model_15,0.05816676002715124
resid.sum.sqrs,model.summary,model_15,0.07781755535729258
total.cor,model.summary,model_15,0.9115955133888783
Iterations,model.summary,model_15,15
Estimate,a,model_15,63.02598816397231
Estimate,b,model_15,0.36871231620857475
Std. Error,a,model_15,22.69421952229687
Std. Error,b,model_15,0.034220534473512434
t value,a,model_15,2.777182449568263
t value,b,model_15,10.774592562076068
Pr(>|t|),a,model_15,0.010716652232759851
Pr(>|t|),b,model_15,1.8370730428912126e-10
sigma,model.summary,model_16,0.0502951751552141
resid.sum.sqrs,model.summary,model_16,0.05818090680955432
total.cor,model.summary,model_16,0.917821048354034
Iterations,model.summary,model_16,13
Estimate,a,model_16,34.83923366952177
Estimate,b,model_16,0.315241114027443
Std. Error,a,model_16,11.8945889576952
Std. Error,b,model_16,0.02598361733496084
t value,a,model_16,2.9289985381951795
t value,b,model_16,12.132302826184539
Pr(>|t|),a,model_16,0.007544974845348617
Pr(>|t|),b,model_16,1.77523101275361e-11
sigma,model.summary,model_17,0.04924551823952035
resid.sum.sqrs,model.summary,model_17,0.05577778453361541
total.cor,model.summary,model_17,0.9083741778731225
Iterations,model.summary,model_17,5
Estimate,a,model_17,30.02204998940345
Estimate,b,model_17,0.2868520057533507
Std. Error,a,model_17,10.783190409180305
Std. Error,b,model_17,0.024621624333914252
t value,a,model_17,2.784152820286293
t value,b,model_17,11.650409488143955
Pr(>|t|),a,model_17,0.010546786531804924
Pr(>|t|),b,model_17,3.9781016669068136e-11
sigma,model.summary,model_18,0.055325105788750946
resid.sum.sqrs,model.summary,model_18,0.07039994860233911
total.cor,model.summary,model_18,0.9330532510165375
Iterations,model.summary,model_18,11
Estimate,a,model_18,106.67524290603198
Estimate,b,model_18,0.42335698732152105
Std. Error,a,model_18,33.37296033693631
Std. Error,b,model_18,0.03657675573856281
t value,a,model_18,3.1964573064250055
t value,b,model_18,11.57448162837407
Pr(>|t|),a,model_18,0.004012491452682617
Pr(>|t|),b,model_18,4.527382066805919e-11
sigma,model.summary,model_19,0.06556891820344403
resid.sum.sqrs,model.summary,model_19,0.09888350979050846
total.cor,model.summary,model_19,0.8927424984538478
Iterations,model.summary,model_19,9
Estimate,a,model_19,191.46693835281596
Estimate,b,model_19,0.4229164109767039
Std. Error,a,model_19,77.18404781656824
Std. Error,b,model_19,0.050196925312825505
t value,a,model_19,2.480654277265255
t value,b,model_19,8.425145730363035
Pr(>|t|),a,model_19,0.020864408876408565
Pr(>|t|),b,model_19,1.7443444375272427e-8
sigma,model.summary,model_20,0.04597593503888742
resid.sum.sqrs,model.summary,model_20,0.0486170918620999
total.cor,model.summary,model_20,0.9327847530409037
Iterations,model.summary,model_20,11
Estimate,a,model_20,118.63560832253934
Estimate,b,model_20,0.35269318786046333
Std. Error,a,model_20,37.43689439641991
Std. Error,b,model_20,0.03114666699065937
t value,a,model_20,3.168948980284125
t value,b,model_20,11.323625348620228
Pr(>|t|),a,model_20,0.004284695067092014
Pr(>|t|),b,model_20,6.97158681796037e-11
sigma,model.summary,model_21,0.028506908755100063
resid.sum.sqrs,model.summary,model_21,0.018690808475746813
total.cor,model.summary,model_21,0.970364369347551
Iterations,model.summary,model_21,5
Estimate,a,model_21,87.602440802955
Estimate,b,model_21,0.32787908390546916
Std. Error,a,model_21,17.89723361514425
Std. Error,b,model_21,0.018031781464877078
t value,a,model_21,4.894747573101339
t value,b,model_21,18.183399379818532
Pr(>|t|),a,model_21,6.056522249870027e-5
Pr(>|t|),b,model_21,3.812675734456838e-15
sigma,model.summary,model_22,0.05642640722133678
resid.sum.sqrs,model.summary,model_22,0.07323060693388693
total.cor,model.summary,model_22,0.8685470306015745
Iterations,model.summary,model_22,7
Estimate,a,model_22,26.644080021755414
Estimate,b,model_22,0.2667130285856982
Std. Error,a,model_22,11.553145364217547
Std. Error,b,model_22,0.0274840810798099
t value,a,model_22,2.306218712029503
t value,b,model_22,9.704273095804117
Pr(>|t|),a,model_22,0.030452864289334657
Pr(>|t|),b,model_22,1.3428036844034085e-9
sigma,model.summary,model_23,0.039446313983122136
resid.sum.sqrs,model.summary,model_23,0.035788268797666306
total.cor,model.summary,model_23,0.924166859453339
Iterations,model.summary,model_23,6
Estimate,a,model_23,29.53326246966863
Estimate,b,model_23,0.26018818040596886
Std. Error,a,model_23,9.342360132745807
Std. Error,b,model_23,0.01965127053394213
t value,a,model_23,3.161220724745122
t value,b,model_23,13.24027268143125
Pr(>|t|),a,model_23,0.00436432388320042
Pr(>|t|),b,model_23,3.029784336550161e-12
sigma,model.summary,model_24,0.05771832981351103
resid.sum.sqrs,model.summary,model_24,0.07662232871860843
total.cor,model.summary,model_24,0.8997629568435362
Iterations,model.summary,model_24,8
Estimate,a,model_24,79.70254381503307
Estimate,b,model_24,0.3482517834840486
Std. Error,a,model_24,30.78036331013382
Std. Error,b,model_24,0.03575344439748428
t value,a,model_24,2.5893958109582353
t value,b,model_24,9.740370175594961
Pr(>|t|),a,model_24,0.01639418658346238
Pr(>|t|),b,model_24,1.252848822483156e-9
sigma,model.summary,model_25,0.0617216337313012
resid.sum.sqrs,model.summary,model_25,0.08761988162060065
total.cor,model.summary,model_25,0.8984649216082129
Iterations,model.summary,model_25,18
Estimate,a,model_25,88.10871462957215
Estimate,b,model_25,0.37311870465065994
Std. Error,a,model_25,34.266391271755744
Std. Error,b,model_25,0.03909145401011137
t value,a,model_25,2.571286656094312
t value,b,model_25,9.544764043674336
Pr(>|t|),a,model_25,0.017070496561585963
Pr(>|t|),b,model_25,1.8277864303525123e-9
sigma,model.summary,model_26,0.07228443123164874
resid.sum.sqrs,model.summary,model_26,0.12017589696510796
total.cor,model.summary,model_26,0.8769399289152203
Iterations,model.summary,model_26,7
Estimate,a,model_26,92.16440321972911
Estimate,b,model_26,0.3912409839744583
Std. Error,a,model_26,40.197887017549725
Std. Error,b,model_26,0.04624235704052879
t value,a,model_26,2.2927673581323234
t value,b,model_26,8.460662669758763
Pr(>|t|),a,model_26,0.03133913401006499
Pr(>|t|),b,model_26,1.6198016478307805e-8
sigma,model.summary,model_27,0.04588251873442773
resid.sum.sqrs,model.summary,model_27,0.048419727084547566
total.cor,model.summary,model_27,0.9102020819224143
Iterations,model.summary,model_27,3
Estimate,a,model_27,34.99799187580023
Estimate,b,model_27,0.27330753992337764
Std. Error,a,model_27,12.58093271139139
Std. Error,b,model_27,0.023727683108603737
t value,a,model_27,2.781828078939755
t value,b,model_27,11.518509357716237
Pr(>|t|),a,model_27,0.010603154191602269
Pr(>|t|),b,model_27,4.982250390902552e-11
sigma,model.summary,model_28,0.07568385905788469
resid.sum.sqrs,model.summary,model_28,0.13174507000355637
total.cor,model.summary,model_28,0.79915908139948
Iterations,model.summary,model_28,11
Estimate,a,model_28,15.96841804081333
Estimate,b,model_28,0.2649687302217767
Std. Error,a,model_28,8.390047542143304
Std. Error,b,model_28,0.033152032264016945
t value,a,model_28,1.9032571580320357
t value,b,model_28,7.992533553044725
Pr(>|t|),a,model_28,0.06959641561025177
Pr(>|t|),b,model_28,4.358441787895022e-8
