coeff,value.name,Mean.Params,sd,n,SE.params
a,Estimate,79.46332101746778,48.26280327769875,935,NA
a,Std. Error,29.102506617751967,18.346366449470892,935,14.110616193192689
b,Estimate,0.35512254981771796,0.062367126174914536,935,NA
b,Std. Error,0.0348910920589282,0.00955747743306364,935,0.014422075481807455
model.summary,Iterations,10.101604278074866,4.645154459251369,935,NA
model.summary,resid.sum.sqrs,0.08057036831112162,0.034100906237987505,935,NA
model.summary,sigma,0.05787428252698614,0.012401265925361981,935,NA
model.summary,total.cor,0.8995693180174352,0.03996347403465442,935,NA
