coeff,value.name,Mean.Params,sd,n
Vmax (nM/hr),calculated,0.36405828064875567,0.05523543132471479,970
Kt + S (nM),calculated,50.15613228395676,13.7758638284697,970
Turnover Time (hr),Estimate,137.76951370142717,31.542455710489975,970
model.summary,adj.r.sqrd,0.9235200014445543,0.05085819119845404,970
model.summary,sigma,485.62191081348533,189.54472017852973,970
model.summary,total.cor,0.962315594760118,0.025613286842685747,970
slope,Estimate,2.746812950437467,0.41675030112035033,970
