Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-1 15N-0,2.07,28543,0,116325,0,1,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,28543
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-1 15N-0,2.06,101342,0,235134,0,1,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,101342
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-1 15N-0,2.07,189562,0,328025,0,1,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,189562
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-1 15N-0,2.07,127161,0,238250,0,1,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,127161
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-1 15N-0,2.07,1044124,0,521170,0,1,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,1044124
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-1 15N-0,2.07,39167,0,107812,0,1,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,ok,all ok,39167
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-1 15N-0,0.79,NA,0,505340,0,1,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,280817
Arginine,200908_Smp_GBTFate2Tlong_B,Arginine_13C-1 15N-0,3.84,NA,0,90892,0,1,200908,Smp,GBTFate2Tlong,B,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,83735
Arginine,200908_Std_0.5uM_GBTFate1T0_A-1,Arginine_13C-1 15N-0,2.1,2058222,0,933376,0,1,200908,Std,0,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,2058222
Arginine,200908_Std_1.0uM_GBTFate1T0_A-1,Arginine_13C-1 15N-0,2.07,4643808,0,1613480,0,1,200908,Std,1,0uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,4643808
Arginine,200908_Std_0uM_GBTFate1T0_A-1,Arginine_13C-1 15N-0,3.87,NA,0,135331,0,1,200908,Std,0uM,GBTFate1T0,A,NA,,ok,ok,ok,bad RT,something is wrong,155829
Arginine,200908_Smp_GBTFate2Tlong_C,Arginine_13C-1 15N-0,2.07,123821,0,149179,0,1,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,123821
Arginine,200908_Std_2.5uM_GBTFate1T0_A-1,Arginine_13C-1 15N-0,2.06,8198749,0,3459034,0,1,200908,Std,2,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,8198749
Arginine,200908_Std_0uM_GBTFate1T0_A-2,Arginine_13C-1 15N-0,1.97,NA,0,0,0,1,200908,Std,0uM,GBTFate1T0,A,NA,,comparable to blank,NA,too small,ok,something is wrong,0
Arginine,200908_Std_0.5uM_GBTFate1T0_A-2,Arginine_13C-1 15N-0,2.04,4389435,0,1261876,0,1,200908,Std,0,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,4389435
Arginine,200908_Std_1.0uM_GBTFate1T0_A-2,Arginine_13C-1 15N-0,2.06,7147989,0,2288782,0,1,200908,Std,1,0uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,7147989
Arginine,200908_Std_2.5uM_GBTFate1T0_A-2,Arginine_13C-1 15N-0,2.05,16062018,0,4257766,0,1,200908,Std,2,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,16062018
Arginine,191001_Std_AA_AA-IS,Arginine_13C-2 15N-0,1.95,233381,0,315116,0,2,191001,Std,AA,AA,IS,NA,,ok,ok,ok,ok,all ok,233381
Arginine,200908_Blk_GBTFateBlk_A,Arginine_13C-2 15N-0,0.54,NA,0,145699,0,2,200908,Blk,GBTFateBlk,A,NA,NA,FateB,ok,ok,ok,bad RT,something is wrong,44087
Arginine,200908_Blk_GBTFateBlk_B,Arginine_13C-2 15N-0,5.89,NA,0,4040,0,2,200908,Blk,GBTFateBlk,B,NA,NA,FateB,ok,ok,ok,bad RT,something is wrong,3391
Arginine,200908_Smp_GBTFate1T0_A,Arginine_13C-2 15N-0,2.66,NA,0,19928,0,2,200908,Smp,GBTFate1T0,A,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,4605
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-2 15N-0,5.88,NA,0,18862,0,2,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,6373
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-2 15N-0,5.89,NA,0,4442,0,2,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,1485
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-2 15N-0,4.93,NA,0,43323,0,2,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,bad RT,something is wrong,13934
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-2 15N-0,5.89,NA,0,7076,0,2,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,bad RT,something is wrong,3215
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-2 15N-0,5.88,NA,0,39905,0,2,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,bad RT,something is wrong,17733
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-2 15N-0,5.88,NA,0,7660,0,2,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,bad ppm,ok,bad RT,something is wrong,2812
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-2 15N-0,5.88,NA,0,3622,0,2,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,bad RT,something is wrong,1275
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-2 15N-0,1.67,NA,0,689773,0,2,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,bad RT,something is wrong,189357
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-2 15N-0,5.89,NA,0,27120,0,2,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,9489
Arginine,200908_Smp_GBTFate2Tlong_B,Arginine_13C-2 15N-0,1.88,33518,0,101221,0,2,200908,Smp,GBTFate2Tlong,B,NA,96,Fate2,ok,ok,ok,ok,all ok,33518
Arginine,200908_Std_0.5uM_GBTFate1T0_A-1,Arginine_13C-2 15N-0,4.24,NA,0,23006,0,2,200908,Std,0,5uM,GBTFate1T0,NA,,ok,ok,ok,bad RT,something is wrong,4728
Arginine,200908_Std_1.0uM_GBTFate1T0_A-1,Arginine_13C-2 15N-0,2.05,166558,0,224501,0,2,200908,Std,1,0uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,166558
Arginine,200908_Std_0uM_GBTFate1T0_A-1,Arginine_13C-2 15N-0,5.89,NA,0,3887,0,2,200908,Std,0uM,GBTFate1T0,A,NA,,ok,ok,ok,bad RT,something is wrong,1675
Arginine,200908_Smp_GBTFate2Tlong_C,Arginine_13C-2 15N-0,5.75,NA,0,35147,0,2,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,12188
Arginine,200908_Std_2.5uM_GBTFate1T0_A-1,Arginine_13C-2 15N-0,2.06,465962,0,333145,0,2,200908,Std,2,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,465962
Arginine,200908_Std_0uM_GBTFate1T0_A-2,Arginine_13C-2 15N-0,3.62,NA,0,11806,0,2,200908,Std,0uM,GBTFate1T0,A,NA,,ok,ok,ok,bad RT,something is wrong,3393
Arginine,200908_Std_0.5uM_GBTFate1T0_A-2,Arginine_13C-2 15N-0,2.05,33461,0,133614,0,2,200908,Std,0,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,33461
Arginine,200908_Std_1.0uM_GBTFate1T0_A-2,Arginine_13C-2 15N-0,2.06,65638,0,192382,0,2,200908,Std,1,0uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,65638
Arginine,200908_Std_2.5uM_GBTFate1T0_A-2,Arginine_13C-2 15N-0,2.06,926759,0,571640,0,2,200908,Std,2,5uM,GBTFate1T0,NA,,ok,ok,ok,ok,all ok,926759
Arginine,191001_Std_AA_AA-IS,Arginine_13C-3 15N-0,0.12,NA,0,187011,0,3,191001,Std,AA,AA,IS,NA,,ok,ok,ok,bad RT,something is wrong,43262
Arginine,200908_Blk_GBTFateBlk_A,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Blk,GBTFateBlk,A,NA,NA,FateB,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Blk_GBTFateBlk_B,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Blk,GBTFateBlk,B,NA,NA,FateB,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate1T0_A,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate1T0,A,NA,0,Fate1,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate1T0,B,NA,0,Fate1,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-3 15N-0,2.26,13175,0,40705,0,3,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,ok,all ok,13175
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate2T0,A,NA,0,Fate2,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate2T0,B,NA,0,Fate2,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate2T0,C,NA,0,Fate2,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-3 15N-0,0.12,NA,0,113732,0,3,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,27609
Arginine,200908_Smp_GBTFate2Tlong_B,Arginine_13C-3 15N-0,2.24,4157,0,13225,0,3,200908,Smp,GBTFate2Tlong,B,NA,96,Fate2,ok,ok,ok,ok,all ok,4157
Arginine,200908_Std_0.5uM_GBTFate1T0_A-1,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Std,0,5uM,GBTFate1T0,NA,,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Std_1.0uM_GBTFate1T0_A-1,Arginine_13C-3 15N-0,2.44,NA,0,56672,0,3,200908,Std,1,0uM,GBTFate1T0,NA,,ok,ok,ok,bad RT,something is wrong,17268
Arginine,200908_Std_0uM_GBTFate1T0_A-1,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Std,0uM,GBTFate1T0,A,NA,,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Smp_GBTFate2Tlong_C,Arginine_13C-3 15N-0,3.03,NA,0,60879,0,3,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,15451
Arginine,200908_Std_2.5uM_GBTFate1T0_A-1,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Std,2,5uM,GBTFate1T0,NA,,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Std_0uM_GBTFate1T0_A-2,Arginine_13C-3 15N-0,NA,NA,NA,NA,0,3,200908,Std,0uM,GBTFate1T0,A,NA,,NA,NA,NA,bad RT,something is wrong,NA
Arginine,200908_Std_0.5uM_GBTFate1T0_A-2,Arginine_13C-3 15N-0,3.48,NA,0,70297,0,3,200908,Std,0,5uM,GBTFate1T0,NA,,ok,ok,ok,bad RT,something is wrong,15487
