Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT,Blk.Max.Area,Area.less.blk
Arginine,191001_Std_AA_AA-IS,Arginine_13C-0 15N-0,1.95,22979468,0,17222914,0,0,191001,Std,AA,AA,IS,NA,,ok,ok,ok,ok,all ok,22979468,345.167514,2.1,583026,22396442
Arginine,200908_Blk_GBTFateBlk_A,Arginine_13C-0 15N-0,2.06,NA,0,0,0,0,200908,Blk,GBTFateBlk,A,NA,NA,FateB,comparable to blank,NA,too small,ok,something is wrong,0,345.167514,2.1,583026,NA
Arginine,200908_Blk_GBTFateBlk_B,Arginine_13C-0 15N-0,2.07,NA,0,435675,0,0,200908,Blk,GBTFateBlk,B,NA,NA,FateB,comparable to blank,ok,ok,ok,something is wrong,583026,345.167514,2.1,583026,NA
Arginine,200908_Smp_GBTFate1T0_A,Arginine_13C-0 15N-0,2.06,NA,0,423792,0,0,200908,Smp,GBTFate1T0,A,NA,0,Fate1,comparable to blank,ok,ok,ok,something is wrong,552630,345.167514,2.1,583026,NA
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-0 15N-0,2.06,7504446,0,2586677,0,0,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,7504446,345.167514,2.1,583026,6921420
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-0 15N-0,2.06,2540484,0,771374,0,0,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,ok,all ok,2540484,345.167514,2.1,583026,1957458
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-0 15N-0,2.07,2676990,0,1223726,0,0,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,ok,all ok,2676990,345.167514,2.1,583026,2093964
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-0 15N-0,2.05,3071754,0,900462,0,0,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,3071754,345.167514,2.1,583026,2488728
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-0 15N-0,2.07,5047528,0,1618450,0,0,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,5047528,345.167514,2.1,583026,4464502
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-0 15N-0,2.07,5151459,0,1630399,0,0,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,5151459,345.167514,2.1,583026,4568433
