Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L-Arginine,200605_Smp_GBTFate2MT0-IS_C,L-Arginine_13C-0 15N-0,18.88,5887686,0,167746,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_A,L-Arginine_13C-0 15N-0,18.96,10080373,0,261910,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_B,L-Arginine_13C-0 15N-0,18.96,14149103,115092,337079,-3.7,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_C,L-Arginine_13C-0 15N-0,18.66,18956156,145593,534534,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT24-IS_A,L-Arginine_13C-0 15N-0,18.7,11985678,0,317591,-2.7,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT24-IS_B,L-Arginine_13C-0 15N-0,18.88,6324961,0,163719,-2.6,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT24-IS_C,L-Arginine_13C-0 15N-0,19.02,10435774,0,253777,-4,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT48-IS_A,L-Arginine_13C-0 15N-0,19.06,19489734,206957,415670,-3,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT48-IS_B,L-Arginine_13C-0 15N-0,18.96,12114034,0,276078,-3.8,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT48-IS_C,L-Arginine_13C-0 15N-0,18.75,14894464,37088,412059,-1.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT5-IS_A,L-Arginine_13C-0 15N-0,18.74,6299432,21928,181811,-2.6,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT5-IS_B,L-Arginine_13C-0 15N-0,19.03,7693108,0,172244,-4,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT5-IS_C,L-Arginine_13C-0 15N-0,18.94,5053591,0,129242,-2.7,L-Arginine
L-Arginine,200605_Smp_GBTFate2MTlong-IS_A,L-Arginine_13C-0 15N-0,18.88,7269889,0,200390,-2.8,L-Arginine
L-Arginine,200605_Smp_GBTFate2MTlong-IS_B,L-Arginine_13C-0 15N-0,18.97,9839785,60958,244538,-4.1,L-Arginine
L-Arginine,200605_Smp_GBTFate2MTlong-IS_C,L-Arginine_13C-0 15N-0,18.95,8569604,0,222641,-3.3,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InH2O_1,L-Arginine_13C-0 15N-1,18.76,939372,0,33881,-2.3,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InH2O_2,L-Arginine_13C-0 15N-1,19.3,1287011,0,34923,-3.2,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InMatrix_1,L-Arginine_13C-0 15N-1,18.69,963100,0,38144,-2.3,L-Arginine
L-Arginine,200605_Std_4uMStdsMix1InMatrix_2,L-Arginine_13C-0 15N-1,19.14,1453834,0,44096,-3,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InH2O_1,L-Arginine_13C-0 15N-1,19.23,0,0,0,#N/A,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InH2O_2,L-Arginine_13C-0 15N-1,19.43,7905,0,3378,6.1,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InMatrix_1,L-Arginine_13C-0 15N-1,18.73,7897,0,4771,-1.9,L-Arginine
L-Arginine,200605_Std_4uMStdsMix2InMatrix_2,L-Arginine_13C-0 15N-1,19.3,43253,0,4617,-1.9,L-Arginine
L-Arginine,200605_Std_H2OinMatrix_1,L-Arginine_13C-0 15N-1,18.87,0,0,0,#N/A,L-Arginine
