Replicate.Name,Compound.Name,Height,IR,S.N,rawArea
190730_Smp_GBT-K1-M200nM_B,13C-15N Glycine Betaine,15258944,131.2874967,125.5406422,248960480
190730_Smp_GBT-K1-M200nM_B,Glycine Betaine,29366432,136.1861681,3.002791251,491957824
190730_Smp_GBT-K1-M200nM_C,13C-15N Glycine Betaine,18585490,135.970113,72.04282189,320282496
190730_Smp_GBT-K1-M200nM_C,Glycine Betaine,22512202,127.5458298,2.624236822,426910560
190730_Smp_GBT-K1-M2nM_A,13C-15N Glycine Betaine,3400203,123.6982637,57.01198404,57769192
190730_Smp_GBT-K1-M2nM_A,Glycine Betaine,36804776,140.6879459,3.43892135,667053184
190730_Smp_GBT-K1-M2nM_B,13C-15N Glycine Betaine,2500448,141.030899,43.39279438,42096172
190730_Smp_GBT-K1-M2nM_B,Glycine Betaine,18724060,134.1195677,2.254803862,353024832
190730_Smp_GBT-K1-M2nM_B1,13C-15N Glycine Betaine,3214748,133.6835938,51.98669593,53527312
190730_Smp_GBT-K1-M2nM_B1,Glycine Betaine,25380636,124.5923024,2.555435892,454400960
190730_Smp_GBT-K1-M2nM_B10,13C-15N Glycine Betaine,2898048,114.069597,46.33156415,50904128
190730_Smp_GBT-K1-M2nM_B10,Glycine Betaine,63235524,134.0904579,5.179718736,1169836800
190730_Smp_GBT-K1-M2nM_B11,13C-15N Glycine Betaine,2864734,127.0547061,34.31990738,50621136
190730_Smp_GBT-K1-M2nM_B11,Glycine Betaine,23309808,137.4927093,2.575260742,467231712
190730_Smp_GBT-K1-M2nM_B12,13C-15N Glycine Betaine,53604128,135.3179272,110.1590719,941928064
190730_Smp_GBT-K1-M2nM_B12,Glycine Betaine,22209882,132.6362849,2.341339333,435258304
190730_Smp_GBT-K1-M2nM_B13,13C-15N Glycine Betaine,104831584,135.8283375,119.0804364,1856600192
190730_Smp_GBT-K1-M2nM_B13,Glycine Betaine,21244746,154.2690793,2.351980136,409572064
190730_Smp_GBT-K1-M2nM_B14,13C-15N Glycine Betaine,27172612,135.3087746,83.18143034,476496480
190730_Smp_GBT-K1-M2nM_B14,Glycine Betaine,23137496,138.8603377,2.424300513,427953536
190730_Smp_GBT-K1-M2nM_B2,13C-15N Glycine Betaine,3237546,126.2084454,50.40614633,53691092
190730_Smp_GBT-K1-M2nM_B2,Glycine Betaine,40567328,126.6651809,3.64956373,709284480
190730_Smp_GBT-K1-M2nM_B3,13C-15N Glycine Betaine,2973302,121.8298698,44.95217178,49638484
190730_Smp_GBT-K1-M2nM_B3,Glycine Betaine,55219128,131.1202197,4.807057494,952239616
190730_Smp_GBT-K1-M2nM_B4,13C-15N Glycine Betaine,2686394,120.9293402,35.79043107,44586164
190730_Smp_GBT-K1-M2nM_B4,Glycine Betaine,21559224,137.2743588,2.32576808,430802080
190730_Smp_GBT-K1-M2nM_B4,Glycine Betaine,20653180,136.1720813,2.459280218,372536448
190730_Smp_GBT-K1-M2nM_B5,13C-15N Glycine Betaine,43898076,137.105253,147.9950677,745904128
190730_Smp_GBT-K1-M2nM_B5,Glycine Betaine,20489724,131.2550594,2.350449121,372366272
190730_Smp_GBT-K1-M2nM_B6,13C-15N Glycine Betaine,88595448,134.0883469,156.131422,1509791744
190730_Smp_GBT-K1-M2nM_B6,Glycine Betaine,19894428,135.0212096,2.329115549,372700800
190730_Smp_GBT-K1-M2nM_B7,13C-15N Glycine Betaine,2906182,134.3051267,37.17199235,50979540
190730_Smp_GBT-K1-M2nM_B7,Glycine Betaine,23276942,141.4337973,2.487222231,480452448
190730_Smp_GBT-K1-M2nM_B8,13C-15N Glycine Betaine,2911763,126.8967712,39.42410056,50790052
190730_Smp_GBT-K1-M2nM_B8,Glycine Betaine,33318414,132.0814338,3.334299617,637036416
190730_Smp_GBT-K1-M2nM_B9,13C-15N Glycine Betaine,2920884,132.7831162,51.43022202,50962160
190730_Smp_GBT-K1-M2nM_B9,Glycine Betaine,42399432,138.5477672,3.955932679,797666048
190730_Smp_GBT-K1-M2nM_C,13C-15N Glycine Betaine,2783996,136.8842147,41.44762697,47233404
190730_Smp_GBT-K1-M2nM_C,Glycine Betaine,28967768,132.7185335,2.857420866,528994176
190730_Smp_GBT-K1-M50nM_A,13C-15N Glycine Betaine,9506395,134.0286636,154.2580572,163554240
190730_Smp_GBT-K1-M50nM_A,Glycine Betaine,28851298,132.1516939,2.926186501,520198624
190730_Smp_GBT-K1-M50nM_B,13C-15N Glycine Betaine,8566384,129.1719787,55.97504299,138451952
190730_Smp_GBT-K1-M50nM_B,Glycine Betaine,21915964,134.5266195,2.46329539,390253248
190730_Smp_GBT-K1-M50nM_C,13C-15N Glycine Betaine,15442132,132.2304692,94.72615852,266580064
190730_Smp_GBT-K1-M50nM_C,Glycine Betaine,28601978,130.7155251,3.016325921,523734496
190730_Smp_GBT-K1-M5nM_A,13C-15N Glycine Betaine,2044712,129.0522663,34.90140446,35254240
190730_Smp_GBT-K1-M5nM_A,Glycine Betaine,22747290,144.0498865,2.820359964,429021184
190730_Smp_GBT-K1-M5nM_B,13C-15N Glycine Betaine,3656084,135.2019309,53.22803599,63018296
190730_Smp_GBT-K1-M5nM_B,Glycine Betaine,34867420,137.2931612,3.545677757,628978688
190730_Smp_GBT-K1-M5nM_C,13C-15N Glycine Betaine,5117982,127.6006172,72.29202522,85266688
190730_Smp_GBT-K1-M5nM_C,Glycine Betaine,27098576,135.9405059,2.999606569,469052384
190730_Smp_GBT-K1-MBlk_0,13C-15N Glycine Betaine,29453,51.28266172,1.760624365,525596
190730_Smp_GBT-K1-MBlk_0,Glycine Betaine,58343,9.866209881,1.002517991,383026
190730_Smp_GBT-K1-MBlk_10,13C-15N Glycine Betaine,119450,87.96764694,4.149262039,2240448
190730_Smp_GBT-K1-MBlk_10,Glycine Betaine,1101146,145.9600099,1.079657229,16482972
190730_Smp_GBT-K1-MBlk_2,13C-15N Glycine Betaine,30883,113.4168474,1.719020132,627422
190730_Smp_GBT-K1-MBlk_2,Glycine Betaine,1381393,75.56577315,1.113990836,32892572
190730_Smp_GBT-K1-MBlk_200,13C-15N Glycine Betaine,1742207,136.8638088,25.28193576,28251838
190730_Smp_GBT-K1-MBlk_200,Glycine Betaine,1649128,175.6642107,1.134965414,34832632
190730_Smp_GBT-K1-MBlk_2000,13C-15N Glycine Betaine,11256316,135.4345316,113.81536,189342080
190730_Smp_GBT-K1-MBlk_2000,Glycine Betaine,1466734,156.2359241,1.122874538,30343360
190730_Smp_GBT-K1-MBlk_5,13C-15N Glycine Betaine,103669,121.8646497,3.179225501,1913275
190730_Smp_GBT-K1-MBlk_5,Glycine Betaine,1197781,70.57972405,1.096935665,16405057
190730_Smp_GBT-K1-MBlk_50,13C-15N Glycine Betaine,333665,120.0155954,8.505805475,5640853
190730_Smp_GBT-K1-MBlk_50,Glycine Betaine,1287362,138.047099,1.131687007,27305164
190730_Smp_GBT-K2-M0nM_A,13C-15N Glycine Betaine,167753,59.47095082,4.512795252,2788355
190730_Smp_GBT-K2-M0nM_A,Glycine Betaine,47226496,130.737844,4.274404735,851100096
190730_Smp_GBT-K2-M0nM_B,13C-15N Glycine Betaine,196392,80.72512902,4.573565371,3269287
190730_Smp_GBT-K2-M0nM_B,Glycine Betaine,25933576,136.4126198,2.796508887,477565440
