time,lat,lon,depth,CTD_Temperature
2019-04-17T03:41:28.000Z,41.681999999999995,-158.05,13.2,9.664
2019-04-17T03:41:44.000Z,41.681999999999995,-158.05,14.1,9.665
2019-04-17T03:41:57.000Z,41.681999999999995,-158.05,15.3,9.666
2019-04-17T03:42:13.000Z,41.681999999999995,-158.05,14.5,9.666
2019-04-17T03:42:35.000Z,41.681999999999995,-158.05,15.6,9.665
2019-04-17T03:42:46.000Z,41.681999999999995,-158.05,15.2,9.666
2019-04-17T03:43:05.000Z,41.681999999999995,-158.05,15.6,9.665
2019-04-17T03:43:16.000Z,41.681999999999995,-158.05,13.9,9.665
2019-04-17T03:43:29.000Z,41.681999999999995,-158.05,14.8,9.666
2019-04-17T03:43:43.000Z,41.681999999999995,-158.05,15.7,9.665
2019-04-17T03:43:54.000Z,41.681999999999995,-158.05,15.6,9.665
2019-04-17T09:07:06.000Z,41.648,-157.917,13.9,9.657
2019-04-17T09:07:18.000Z,41.648,-157.917,13.2,9.658999999999999
2019-04-17T09:07:21.000Z,41.648,-157.917,16.2,9.652999999999999
2019-04-17T09:07:25.000Z,41.648,-157.917,14.4,9.657
2019-04-17T09:07:27.000Z,41.648,-157.917,13.9,9.657
2019-04-17T09:07:31.000Z,41.648,-157.917,15.7,9.655
2019-04-17T09:07:33.000Z,41.648,-157.917,15,9.657
2019-04-17T09:07:37.000Z,41.648,-157.917,13.8,9.657
2019-04-17T09:07:40.000Z,41.648,-157.917,16.1,9.652999999999999
2019-04-17T09:07:43.000Z,41.648,-157.917,14.8,9.657
2019-04-17T09:07:47.000Z,41.648,-157.917,14.4,9.657
2019-04-17T09:10:59.000Z,41.648,-157.917,14.3,9.657
2019-04-17T12:57:16.000Z,41.618,-157.93,14.9,9.637
2019-04-17T12:57:22.000Z,41.618,-157.93,15.7,9.638
2019-04-17T12:57:24.000Z,41.618,-157.93,14.4,9.638
2019-04-17T12:57:27.000Z,41.618,-157.93,15.6,9.638
2019-04-17T12:57:30.000Z,41.618,-157.93,16.2,9.638
2019-04-17T12:57:34.000Z,41.618,-157.93,16.3,9.638
2019-04-17T12:57:38.000Z,41.618,-157.93,15.4,9.637
2019-04-17T12:57:47.000Z,41.618,-157.93,15.3,9.637
2019-04-17T12:57:52.000Z,41.618,-157.93,15.4,9.637
2019-04-17T15:56:29.000Z,41.618,-157.937,15.1,9.638
2019-04-17T15:56:53.000Z,41.618,-157.937,15.9,9.638
2019-04-17T15:57:06.000Z,41.618,-157.937,15.3,9.638
2019-04-17T15:57:35.000Z,41.618,-157.937,15.6,9.638
2019-04-17T15:57:42.000Z,41.618,-157.937,14.1,9.638
2019-04-17T15:57:52.000Z,41.618,-157.937,15,9.638
2019-04-17T15:58:09.000Z,41.618,-157.937,16.7,9.638
2019-04-17T15:58:38.000Z,41.618,-157.937,16,9.638
2019-04-17T15:58:49.000Z,41.618,-157.937,16.5,9.638
2019-04-17T15:59:18.000Z,41.618,-157.937,15.8,9.638
2019-04-17T15:59:28.000Z,41.618,-157.937,15.1,9.638
2019-04-17T15:59:38.000Z,41.618,-157.937,15.1,9.638
2019-04-17T15:59:48.000Z,41.618,-157.937,15.3,9.638
2019-04-17T15:59:59.000Z,41.618,-157.937,15.6,9.638
2019-04-17T16:00:14.000Z,41.618,-157.937,15.9,9.638
2019-04-17T16:00:24.000Z,41.618,-157.937,15,9.638
2019-04-17T16:00:48.000Z,41.618,-157.937,16.3,9.638
2019-04-17T16:01:10.000Z,41.618,-157.937,17,9.638
2019-04-17T16:01:16.000Z,41.618,-157.937,14.6,9.638
2019-04-17T16:01:26.000Z,41.618,-157.937,15.3,9.638
2019-04-17T16:01:35.000Z,41.618,-157.937,15.3,9.638
2019-04-17T16:01:52.000Z,41.618,-157.937,16.1,9.638
2019-04-17T16:02:01.000Z,41.618,-157.937,15.4,9.638
2019-04-17T16:02:10.000Z,41.618,-157.937,14.8,9.638
2019-04-17T19:48:30.000Z,41.653,-157.936,15.5,9.594
2019-04-17T19:48:48.000Z,41.653,-157.936,15.5,9.594
2019-04-17T19:48:54.000Z,41.653,-157.936,14.6,9.594
2019-04-17T19:49:01.000Z,41.653,-157.936,15.5,9.594
2019-04-17T19:49:09.000Z,41.653,-157.936,15,9.594
2019-04-17T19:49:15.000Z,41.653,-157.936,15.8,9.594
2019-04-17T19:49:42.000Z,41.653,-157.936,16.8,9.595
2019-04-17T19:49:51.000Z,41.653,-157.936,16.1,9.594
2019-04-17T19:50:03.000Z,41.653,-157.936,15.3,9.594
2019-04-17T19:50:13.000Z,41.653,-157.936,15.4,9.594
2019-04-17T19:50:33.000Z,41.653,-157.936,16.2,9.594
2019-04-17T19:50:43.000Z,41.653,-157.936,16,9.594
2019-04-17T19:50:52.000Z,41.653,-157.936,15.7,9.594
2019-04-17T19:51:01.000Z,41.653,-157.936,15.5,9.594
2019-04-17T19:51:14.000Z,41.653,-157.936,14.7,9.594
2019-04-17T19:51:20.000Z,41.653,-157.936,15.1,9.594
2019-04-17T19:51:26.000Z,41.653,-157.936,15.5,9.594
2019-04-17T19:51:37.000Z,41.653,-157.936,15.4,9.594
2019-04-17T23:35:54.000Z,41.653999999999996,-157.944,14.8,9.621
2019-04-17T23:36:14.000Z,41.653999999999996,-157.944,15.1,9.62
2019-04-17T23:36:21.000Z,41.653999999999996,-157.944,15.5,9.62
2019-04-17T23:36:32.000Z,41.653999999999996,-157.944,15.6,9.62
2019-04-17T23:36:39.000Z,41.653999999999996,-157.944,15.1,9.62
2019-04-17T23:36:48.000Z,41.653999999999996,-157.944,15.3,9.62
2019-04-17T23:36:54.000Z,41.653999999999996,-157.944,15.4,9.62
2019-04-17T23:37:03.000Z,41.653999999999996,-157.944,14.9,9.621
2019-04-17T23:37:15.000Z,41.653999999999996,-157.944,14.4,9.621
2019-04-17T23:37:31.000Z,41.653999999999996,-157.944,15.3,9.62
2019-04-17T23:37:36.000Z,41.653999999999996,-157.944,16.3,9.618
2019-04-17T23:37:41.000Z,41.653999999999996,-157.944,15.1,9.621
2019-04-17T23:37:47.000Z,41.653999999999996,-157.944,16.5,9.617
2019-04-17T23:37:53.000Z,41.653999999999996,-157.944,15,9.621
2019-04-17T23:37:59.000Z,41.653999999999996,-157.944,16.6,9.617
2019-04-17T23:38:06.000Z,41.653999999999996,-157.944,15.8,9.619
2019-04-17T23:38:12.000Z,41.653999999999996,-157.944,15.8,9.619
2019-04-17T23:38:17.000Z,41.653999999999996,-157.944,15.8,9.619
2019-04-18T03:25:31.000Z,41.608000000000004,-157.903,13.9,9.726
2019-04-18T03:25:34.000Z,41.608000000000004,-157.903,16.9,9.691
2019-04-18T03:25:36.000Z,41.608000000000004,-157.903,14.9,9.715
2019-04-18T03:25:38.000Z,41.608000000000004,-157.903,13.4,9.727
2019-04-18T03:25:41.000Z,41.608000000000004,-157.903,14.5,9.719
2019-04-18T03:25:43.000Z,41.608000000000004,-157.903,15.5,9.707
