Replicate Name,run order,a kind of type,A kind of ID,dilution
200605_Blk_Blk_1,1,Blk,Blk,1
200605_Blk_Blk_10,32,Blk,Blk,1
200605_Blk_Blk_11,36,Blk,Blk,1
200605_Blk_Blk_12,40,Blk,Blk,1
200605_Blk_Blk_13,44,Blk,Blk,1
200605_Blk_Blk_14,48,Blk,Blk,1
200605_Blk_Blk_15,52,Blk,Blk,1
200605_Blk_Blk_16,56,Blk,Blk,1
200605_Blk_Blk_17,60,Blk,Blk,1
200605_Blk_Blk_18,64,Blk,Blk,1
200605_Blk_Blk_19,68,Blk,Blk,1
200605_Blk_Blk_2,2,Blk,Blk,1
200605_Blk_Blk_20,72,Blk,Blk,1
200605_Blk_Blk_21,76,Blk,Blk,1
200605_Blk_Blk_22,80,Blk,Blk,1
200605_Blk_Blk_23,84,Blk,Blk,1
200605_Blk_Blk_24,88,Blk,Blk,1
200605_Blk_Blk_25,92,Blk,Blk,1
200605_Blk_Blk_26,96,Blk,Blk,1
200605_Blk_Blk_27,100,Blk,Blk,1
200605_Blk_Blk_28,104,Blk,Blk,1
200605_Blk_Blk_29,108,Blk,Blk,1
200605_Blk_Blk_3,3,Blk,Blk,1
200605_Blk_Blk_30,112,Blk,Blk,1
200605_Blk_Blk_31,116,Blk,Blk,1
200605_Blk_Blk_32,120,Blk,Blk,1
200605_Blk_Blk_33,124,Blk,Blk,1
200605_Blk_Blk_34,128,Blk,Blk,1
200605_Blk_Blk_35,132,Blk,Blk,1
200605_Blk_Blk_36,136,Blk,Blk,1
200605_Blk_Blk_37,140,Blk,Blk,1
200605_Blk_Blk_38,144,Blk,Blk,1
200605_Blk_Blk_39,148,Blk,Blk,1
200605_Blk_Blk_4,9,Blk,Blk,1
200605_Blk_Blk_40,152,Blk,Blk,1
200605_Blk_Blk_41,156,Blk,Blk,1
200605_Blk_Blk_42,160,Blk,Blk,1
200605_Blk_Blk_43,164,Blk,Blk,1
200605_Blk_Blk_44,168,Blk,Blk,1
200605_Blk_Blk_45,172,Blk,Blk,1
200605_Blk_Blk_46,176,Blk,Blk,1
200605_Blk_Blk_47,180,Blk,Blk,1
200605_Blk_Blk_48,184,Blk,Blk,1
200605_Blk_Blk_49,188,Blk,Blk,1
200605_Blk_Blk_5,10,Blk,Blk,1
200605_Blk_Blk_50,192,Blk,Blk,1
200605_Blk_Blk_51,196,Blk,Blk,1
200605_Blk_Blk_52,200,Blk,Blk,1
200605_Blk_Blk_53,206,Blk,Blk,1
200605_Blk_Blk_54,207,Blk,Blk,1
200605_Blk_Blk_6,16,Blk,Blk,1
200605_Blk_Blk_7,20,Blk,Blk,1
200605_Blk_Blk_8,24,Blk,Blk,1
200605_Blk_Blk_9,28,Blk,Blk,1
200605_Blk_GBTFate1MBlk_B,79,Blk,Blk,1
200605_Blk_GBTFate1MBlk-IS_A,117,Blk,Blk,1
200605_Blk_GBTFate1MBlk-IS_B,77,Blk,Blk,1
200605_Blk_GBTFate1MBlk-neg_A,119,Blk,Blk,1
200605_Blk_GBTFate1MBlk-pos_A,118,Blk,Blk,1
