Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Amino Acids,200908_Smp_GBTFate1Tlong_A,Serine,2.36,38427748,0,11561821,-1,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Serine,2.35,57657736,325118,16367684,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Serine,2.36,22345742,0,7181443,-1,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Serine,2.35,32306994,0,9678823,-0.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Serine,2.36,9615128,0,5350016,-1.5,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Serine,2.39,63363400,1408072,20197644,-0.3,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Serine,2.35,115244664,3369769,39193692,-0.8,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Serine,2.37,7328687,0,2577225,-0.5,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Serine,2.36,42597680,0,10622613,-0.8,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Serine,2.35,191751296,5266946,72621736,-0.7,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Serine,2.35,16267925,0,4901062,-1.4,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Serine,2.34,164914560,1025721,38220364,-0.4,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Serine,2.35,227674912,12811105,68551648,-0.7,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Serine,2.35,444300992,19544978,133724088,-1.6,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Glycine,2.48,259166448,1092054,173331456,-0.2,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Glycine,2.57,24882740,0,6228564,-1.4,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Glycine,2.58,47379012,244065,12804544,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Glycine,2.57,36121628,1474023,16271830,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Glycine,2.57,217698064,8767772,59650524,-1.5,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Glycine,2.57,86664496,611139,25871826,-1.3,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Glycine,2.57,65709936,2307658,26639970,-1,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Glycine,2.57,96711792,506444,28375060,-1.6,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Glycine,2.57,134789264,3447637,46630044,-1.4,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Glycine,2.57,158480832,6800311,42491492,-1.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Glycine,2.57,230043408,2686353,65426364,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Glycine,2.57,89883496,1238061,25941504,-1.3,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Glycine,2.56,121412952,5498321,32888626,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Glycine,2.57,35007792,2427242,16938826,-1.7,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Glycine,2.61,111662024,441501,51364568,-0.8,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Glycine,2.57,191729680,1286346,77613624,-1.3,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Glycine,2.59,26578166,175851,11247678,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Glycine,2.57,139916352,1613873,39605944,-1,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Glycine,2.57,282956096,3141886,133679992,-0.9,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Glycine,2.57,36462872,336649,17769196,-1.3,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Glycine,2.56,275123744,2082408,83419224,-0.9,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Glycine,2.57,489214464,15591390,129185904,-1.1,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Glycine,2.57,744030912,12434071,201038080,-1.9,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Aspartic Acid,2.62,94436624,3254987,43130248,0.1,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Aspartic Acid,2.55,108835304,518646,42242972,-1.3,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Aspartic Acid,2.56,25138430,1403162,12904727,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Aspartic Acid,2.56,146640464,9034442,59565368,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Aspartic Acid,2.56,155973968,2877283,57599404,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Aspartic Acid,2.55,154739072,773184,63589964,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Aspartic Acid,2.73,6201896,0,3475661,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Aspartic Acid,2.56,21102316,0,8061373,-1.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Aspartic Acid,2.56,93759912,3066235,46158852,-1,Amino Acids
