Compound.Name,Emperical.Formula,Column,m.z,z,C,N,this.N,possibilities,names.isotopes,iso.mz,Compound.and.Iso.name
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-42 15N-0,935.683468,Chlorophyll_13C-42 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-43 15N-0,936.686822,Chlorophyll_13C-43 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-44 15N-0,937.690176,Chlorophyll_13C-44 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-45 15N-0,938.69353,Chlorophyll_13C-45 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-46 15N-0,939.696884,Chlorophyll_13C-46 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-47 15N-0,940.700238,Chlorophyll_13C-47 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-48 15N-0,941.703592,Chlorophyll_13C-48 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-49 15N-0,942.706946,Chlorophyll_13C-49 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-50 15N-0,943.7103,Chlorophyll_13C-50 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-51 15N-0,944.713654,Chlorophyll_13C-51 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-52 15N-0,945.717008,Chlorophyll_13C-52 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-53 15N-0,946.720362,Chlorophyll_13C-53 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-54 15N-0,947.723716,Chlorophyll_13C-54 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-55 15N-0,948.72707,Chlorophyll_13C-55 15N-0
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-0 15N-1,894.539636,Chlorophyll_13C-0 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-1 15N-1,895.5429899999999,Chlorophyll_13C-1 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-2 15N-1,896.546344,Chlorophyll_13C-2 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-3 15N-1,897.5496979999999,Chlorophyll_13C-3 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-4 15N-1,898.553052,Chlorophyll_13C-4 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-5 15N-1,899.5564059999999,Chlorophyll_13C-5 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-6 15N-1,900.55976,Chlorophyll_13C-6 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-7 15N-1,901.5631139999999,Chlorophyll_13C-7 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-8 15N-1,902.566468,Chlorophyll_13C-8 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-9 15N-1,903.5698219999999,Chlorophyll_13C-9 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-10 15N-1,904.573176,Chlorophyll_13C-10 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-11 15N-1,905.5765299999999,Chlorophyll_13C-11 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-12 15N-1,906.579884,Chlorophyll_13C-12 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-13 15N-1,907.5832379999999,Chlorophyll_13C-13 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-14 15N-1,908.586592,Chlorophyll_13C-14 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-15 15N-1,909.5899459999999,Chlorophyll_13C-15 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-16 15N-1,910.5933,Chlorophyll_13C-16 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-17 15N-1,911.596654,Chlorophyll_13C-17 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-18 15N-1,912.600008,Chlorophyll_13C-18 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-19 15N-1,913.603362,Chlorophyll_13C-19 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-20 15N-1,914.606716,Chlorophyll_13C-20 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-21 15N-1,915.61007,Chlorophyll_13C-21 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-22 15N-1,916.613424,Chlorophyll_13C-22 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-23 15N-1,917.616778,Chlorophyll_13C-23 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-24 15N-1,918.620132,Chlorophyll_13C-24 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-25 15N-1,919.623486,Chlorophyll_13C-25 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-26 15N-1,920.62684,Chlorophyll_13C-26 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-27 15N-1,921.630194,Chlorophyll_13C-27 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-28 15N-1,922.633548,Chlorophyll_13C-28 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-29 15N-1,923.636902,Chlorophyll_13C-29 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-30 15N-1,924.640256,Chlorophyll_13C-30 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-31 15N-1,925.64361,Chlorophyll_13C-31 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-32 15N-1,926.646964,Chlorophyll_13C-32 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-33 15N-1,927.650318,Chlorophyll_13C-33 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-34 15N-1,928.653672,Chlorophyll_13C-34 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-35 15N-1,929.657026,Chlorophyll_13C-35 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-36 15N-1,930.66038,Chlorophyll_13C-36 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-37 15N-1,931.663734,Chlorophyll_13C-37 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-38 15N-1,932.6670879999999,Chlorophyll_13C-38 15N-1
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-39 15N-1,933.670442,Chlorophyll_13C-39 15N-1
