Experiment,Timepoint,Incubation time (hr),Metabolite,Isotopologue,C.lab,N.lab,iso.mz,ionization,nM.in.Sample.ave,nM.in.sample.sd,MID.mean,MID.sd
Fate2,24,25,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,3,0,149.128166,pos,0,0,0,0
Fate2,48,51,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,3,0,149.128166,pos,0,0,0,0
Fate2,5,6,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,3,0,149.128166,pos,8.964822734534513e-7,7.862538211803622e-7,1.8664726410318907e-4,1.7510764154809967e-4
Fate2,96,100,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-3 15N-0,3,0,149.128166,pos,8.932775907820985e-7,8.759485889019946e-7,1.33501314717115e-4,1.1567531158999521e-4
Fate1,0,0.5,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,4.406850529013087e-7,7.632889017612452e-7,5.803430738510614e-5,1.0051836897307355e-4
Fate1,12,12.5,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,4.537090804104982e-5,2.6055997116770455e-5,0.008610298100440304,0.0036034025119471556
Fate1,36,36,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,2.8727876999321147e-4,1.1196074531892168e-4,0.03465159737430625,0.007447007811893646
Fate1,4,4.5,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,2.1390193346846248e-6,2.6177021682224586e-6,2.484492362962258e-4,2.865986598916073e-4
Fate1,50,50,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,2.2469229267055998e-4,4.5718004749250904e-5,0.03646062511012322,0.0023543359578926887
Fate1,8,9,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,4.0640972185152555e-5,2.674083800324073e-5,0.006292106875324312,0.0033385305147099523
Fate1,96,98,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,6.459864570332446e-4,3.555935297661945e-4,0.06450391513223937,0.022026195558683653
Fate2,0,0.3,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,0,0,0,0
Fate2,12,13,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,4.435828194289398e-4,6.669961582589686e-5,0.07801115086975827,0.006157876844495032
Fate2,24,25,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,9.209724145084782e-4,4.844527012830114e-4,0.11984289115468728,0.048210191493662964
Fate2,48,51,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,0.0015377295323330733,3.2958960570155595e-4,0.2578420319770911,0.04477980797201925
Fate2,5,6,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,1.0580229079553427e-4,8.442387985570593e-5,0.015881217555677812,0.010853449946574792
Fate2,96,100,(3-Carboxypropyl)trimethylammonium,(3-Carboxypropyl)trimethylammonium_13C-5 15N-1,5,1,152.13191,pos,0.0021260611763573157,0.0012393118085301425,0.33076404526027164,0.07487468487494198
Fate1,0,0.5,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.37454702555564257,0.1168113711510435,0.9890519273336185,8.185644031261772e-4
Fate1,12,12.5,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0,0,155.001422,neg,0.33342557792082334,0.13288142061867092,0.9890407709143415,0.0027200177416406407
