type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,0,Butyrylcarnitine_13C-0 15N-0,Butyrylcarnitine,CyanoAq,232.154884,0.9485047154382839,0.012344278129291007,299234,85254.3747792452
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,0,L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,CyanoAq,166.086804,0.9103730460792441,0.0039024532872531086,22912239,5983735.467905646
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,0,L-Tryptophan_13C-0 15N-0,L-Tryptophan,CyanoAq,205.097703,0.9093215329619784,0.010560845563541555,2951199.6666666665,736882.935765467
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,0,Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,CyanoAq,298.097387,0.8922371217512688,0.006432526759424764,980161.3333333334,315341.6102329874
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,0,Xanthine_13C-0 15N-0,Xanthine,CyanoAq,153.041251,1,0,1694686.6666666667,969074.4754131817
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,1,Butyrylcarnitine_13C-1 15N-0,Butyrylcarnitine,CyanoAq,233.158238,0.05149528456171621,0.01234427812929101,17059,8514.153862833347
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,1,L-Phenylalanine_13C-1 15N-0,L-Phenylalanine,CyanoAq,167.090158,0.08413745442577565,0.004308731433785598,2134279,639723.300373685
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,1,L-Tryptophan_13C-1 15N-0,L-Tryptophan,CyanoAq,206.101057,0.08235596427160173,0.0029998447091739463,268652.6666666667,73469.69689153027
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,1,Methylthioadenosine_13C-1 15N-0,Methylthioadenosine,CyanoAq,299.100741,0.10776287824873122,0.006432526759424772,118337,39957.272029006184
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,2,L-Phenylalanine_13C-2 15N-0,L-Phenylalanine,CyanoAq,168.093512,0.0034231088300302817,2.949756075609828e-4,84906.66666666667,15496.29995622611
Smp,GBTFate1MT36,Fate1,36,pos,200612,0,2,L-Tryptophan_13C-2 15N-0,L-Tryptophan,CyanoAq,207.104411,0.002844697344067777,0.00102501132802046,9799.333333333334,5539.9532789847
Smp,GBTFate1MT36,Fate1,36,pos,200612,1,0,L-Phenylalanine_13C-0 15N-1,L-Phenylalanine,CyanoAq,167.08384,0.0020663906649499414,1.8013453978901102e-4,51769,13469.436773673946
Smp,GBTFate1MT36,Fate1,36,pos,200612,1,0,L-Tryptophan_13C-0 15N-1,L-Tryptophan,CyanoAq,206.094739,0.0026698155113168585,0.0027106371320808086,9442.333333333334,8968.635143283136
