MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,0,Smp,A,1.2508089668041442
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,0,Smp,B,1.2340864395837101
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,0,Smp,C,2.0093028043972305
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,12,Smp,A,1.8442872675085806
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,12,Smp,B,0.7772698593425454
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,12,Smp,C,1.4250880553154008
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,36,Smp,A,2.166156079023438
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,36,Smp,B,1.603397865882471
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,36,Smp,C,2.2116039151990314
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,4,Smp,A,0.7691238186443852
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,4,Smp,B,1.4989849665701682
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,4,Smp,C,1.5833436103767355
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,50,Smp,A,2.524167513312227
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,50,Smp,B,2.164357860372657
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,50,Smp,C,2.795110435438649
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,8,Smp,A,1.8302904157570483
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,8,Smp,B,1.627687595059531
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,8,Smp,C,1.568740902704212
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,96,Smp,A,2.9661345137248585
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,96,Smp,B,2.842386987225002
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,96,Smp,C,5.371656436719583
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,0,Smp,A,0.7915207434433273
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,0,Smp,B,0.9443218227075622
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,0,Smp,C,0.5438363286269287
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,12,Smp,A,0.9681065253211386
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,12,Smp,B,1.0069097458904464
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,12,Smp,C,1.281548094585041
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,24,Smp,A,1.3189458219541808
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,24,Smp,B,1.1502903397145645
