Protein Name,C.lab,N.lab,Precursor Ion Name,Experiment,n
Taurine,0,0,Taurine_13C-0 15N-0,Fate1,21
Taurine,0,0,Taurine_13C-0 15N-0,Fate2,18
Taurine,0,1,Taurine_13C-0 15N-1,Fate1,21
Taurine,0,1,Taurine_13C-0 15N-1,Fate2,18
Taurine,1,0,Taurine_13C-1 15N-0,Fate1,21
Taurine,1,0,Taurine_13C-1 15N-0,Fate2,18
Taurine,2,1,Taurine_13C-2 15N-1,Fate1,1
Taurine,2,1,Taurine_13C-2 15N-1,Fate2,1
Trigonelline,0,0,Trigonelline_13C-0 15N-0,Fate1,21
Trigonelline,0,0,Trigonelline_13C-0 15N-0,Fate2,18
Trigonelline,0,1,Trigonelline_13C-0 15N-1,Fate1,21
Trigonelline,0,1,Trigonelline_13C-0 15N-1,Fate2,17
Trigonelline,1,0,Trigonelline_13C-1 15N-0,Fate1,21
Trigonelline,1,0,Trigonelline_13C-1 15N-0,Fate2,17
Trigonelline,1,1,Trigonelline_13C-1 15N-1,Fate1,17
Trigonelline,1,1,Trigonelline_13C-1 15N-1,Fate2,13
Trigonelline,2,0,Trigonelline_13C-2 15N-0,Fate1,21
Trigonelline,2,0,Trigonelline_13C-2 15N-0,Fate2,17
Trigonelline,3,0,Trigonelline_13C-3 15N-0,Fate1,4
Trigonelline,3,0,Trigonelline_13C-3 15N-0,Fate2,3
Trigonelline,3,1,Trigonelline_13C-3 15N-1,Fate1,1
Trigonelline,3,1,Trigonelline_13C-3 15N-1,Fate2,2
Trigonelline,4,0,Trigonelline_13C-4 15N-0,Fate2,2
Trimethylamine N-oxide,0,0,Trimethylamine N-oxide_13C-0 15N-0,Fate1,21
Trimethylamine N-oxide,0,0,Trimethylamine N-oxide_13C-0 15N-0,Fate2,18
Trimethylamine N-oxide,0,1,Trimethylamine N-oxide_13C-0 15N-1,Fate1,21
Trimethylamine N-oxide,0,1,Trimethylamine N-oxide_13C-0 15N-1,Fate2,18
Trimethylamine N-oxide,1,0,Trimethylamine N-oxide_13C-1 15N-0,Fate1,21
Trimethylamine N-oxide,1,0,Trimethylamine N-oxide_13C-1 15N-0,Fate2,18
Trimethylamine N-oxide,2,0,Trimethylamine N-oxide_13C-2 15N-0,Fate1,12
Trimethylamine N-oxide,2,0,Trimethylamine N-oxide_13C-2 15N-0,Fate2,5
Trimethylamine N-oxide,2,1,Trimethylamine N-oxide_13C-2 15N-1,Fate1,13
Trimethylamine N-oxide,2,1,Trimethylamine N-oxide_13C-2 15N-1,Fate2,5
Trimethylamine N-oxide,3,1,Trimethylamine N-oxide_13C-3 15N-1,Fate1,18
Trimethylamine N-oxide,3,1,Trimethylamine N-oxide_13C-3 15N-1,Fate2,15
