Protein Name,C.lab,N.lab,Precursor Ion Name,Experiment,n
"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",Fate1,42
"(R)-2,3-Dihydroxypropane-1-sulfonate",0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",Fate2,36
"(R)-2,3-Dihydroxypropane-1-sulfonate",1,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",Fate1,34
"(R)-2,3-Dihydroxypropane-1-sulfonate",1,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",Fate2,16
Internal Standards_neg,2,0,"Isethionic Acid, 13C2",Fate1,42
Internal Standards_neg,2,0,"Isethionic Acid, 13C2",Fate2,35
Internal Standards_neg,2,0,"Sulfoacetic Acid, 13C2",Fate1,41
Internal Standards_neg,2,0,"Sulfoacetic Acid, 13C2",Fate2,36
Internal Standards_neg,3,0,"L-Cysteic Acid, D3",Fate1,40
Internal Standards_neg,3,0,"L-Cysteic Acid, D3",Fate2,36
Internal Standards_neg,3,0,"Sulfolactic Acid, 13C3",Fate1,40
Internal Standards_neg,3,0,"Sulfolactic Acid, 13C3",Fate2,35
Internal Standards_neg,4,0,"Succinic Acid, D4",Fate1,41
Internal Standards_neg,4,0,"Succinic Acid, D4",Fate2,33
Internal Standards_neg,4,0,"Taurine, D4",Fate1,41
Internal Standards_neg,4,0,"Taurine, D4",Fate2,36
Internal Standards_neg,4,0,"Thymine, D4",Fate1,41
Internal Standards_neg,4,0,"Thymine, D4",Fate2,33
Internal Standards_neg,NA,0,"Sucrose, 13C",Fate1,42
Internal Standards_neg,NA,0,"Sucrose, 13C",Fate2,35
Internal Standards_neg,NA,0,"Trehalose, 13C",Fate1,42
Internal Standards_neg,NA,0,"Trehalose, 13C",Fate2,35
Internal Standards_neg,NA,5,"Adenosine Monophosphate, 15N5",Fate1,39
Internal Standards_neg,NA,5,"Adenosine Monophosphate, 15N5",Fate2,35
Internal Standards_neg,NA,5,"Guanosine Monophosphate, 15N5",Fate1,40
Internal Standards_neg,NA,5,"Guanosine Monophosphate, 15N5",Fate2,35
Isethionic acid,0,0,Isethionic acid_13C-0,Fate1,42
Isethionic acid,0,0,Isethionic acid_13C-0,Fate2,36
Isethionic acid,1,0,Isethionic acid_13C-1,Fate1,37
Isethionic acid,1,0,Isethionic acid_13C-1,Fate2,34
Sucrose,0,0,Sucrose_13C-0,Fate1,2
Sucrose,0,0,Sucrose_13C-0,Fate2,2
Sucrose,1,0,Sucrose_13C-1,Fate1,5
Sucrose,1,0,Sucrose_13C-1,Fate2,3
Sucrose,2,0,Sucrose_13C-2,Fate1,2
Sucrose,2,0,Sucrose_13C-2,Fate2,1
Trehalose,0,0,Trehalose_13C-0,Fate1,37
Trehalose,0,0,Trehalose_13C-0,Fate2,36
Trehalose,1,0,Trehalose_13C-1,Fate1,2
