MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,24,Smp,A,1.3189458219541808,700,2,25,12,0.32602582124278073
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,24,Smp,B,1.1502903397145645,700,2,25,12,0.2843364347729108
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,24,Smp,C,1.037743907636934,700,2,25,12,0.2565164573824149
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,48,Smp,A,1.2084617689838117,900,2,51,26,0.29871563646921184
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,48,Smp,B,1.4676620964298315,900,2,51,26,0.36278650140950197
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,48,Smp,C,1.3580809279407946,900,2,51,26,0.3356994976412586
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,5,Smp,A,0.6364130349060971,1300,2,6,5.75,0.15731281672165512
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,5,Smp,B,1.6774961041690226,1300,2,6,5.75,0.4146546703358601
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,5,Smp,C,0.7517863438277678,1300,2,6,5.75,0.1858315603763065
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,96,Smp,A,0.7475010436657474,1000,2,100,49,0.18477229131359058
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,96,Smp,B,0.9541454122269181,1000,2,100,49,0.23585202396366445
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate2,96,Smp,C,0.7908840279093206,1000,2,100,49,0.19549598657881193
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,NA,Blk,A,NA,NA,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",Fate1,NA,Blk,B,NA,NA,NA,NA,NA,NA
Isethionic acid_13C-0,Isethionic acid,Fate1,0,Smp,A,1.77072518026562,900,2,0.5,0,0.43769965489259116
Isethionic acid_13C-0,Isethionic acid,Fate1,0,Smp,B,1.7396101472590797,900,2,0.5,0,0.430008433600481
Isethionic acid_13C-0,Isethionic acid,Fate1,0,Smp,C,2.7332513534534844,900,1.95,0.5,0,0.6929469653562276
Isethionic acid_13C-0,Isethionic acid,Fate1,12,Smp,A,2.615805562085105,1930,2,12.5,3.5,0.6465922575399435
Isethionic acid_13C-0,Isethionic acid,Fate1,12,Smp,B,1.4314697741481464,1930,2,12.5,3.5,0.35384024190576646
Isethionic acid_13C-0,Isethionic acid,Fate1,12,Smp,C,2.401567234779204,1930,2,12.5,3.5,0.5936353995409556
Isethionic acid_13C-0,Isethionic acid,Fate1,36,Smp,A,3.480088291093669,1900,2,36,23.5,0.8602314243811403
Isethionic acid_13C-0,Isethionic acid,Fate1,36,Smp,B,2.708029014980564,1900,2,36,23.5,0.6693886654496625
Isethionic acid_13C-0,Isethionic acid,Fate1,36,Smp,C,3.1517274884108746,1900,2,36,23.5,0.7790650121019894
Isethionic acid_13C-0,Isethionic acid,Fate1,4,Smp,A,1.480394274808253,1200,2,4.5,4.25,0.3659337261422693
Isethionic acid_13C-0,Isethionic acid,Fate1,4,Smp,B,1.8610856531105302,1200,2,4.5,4.25,0.4600355589735483
Isethionic acid_13C-0,Isethionic acid,Fate1,4,Smp,C,2.123714148831669,1200,2,4.5,4.25,0.5249538214025374
Isethionic acid_13C-0,Isethionic acid,Fate1,50,Smp,A,3.6204754423958296,900,2,50,14,0.8949332563543505
Isethionic acid_13C-0,Isethionic acid,Fate1,50,Smp,B,3.0057879185885614,900,2,50,14,0.7429906963028445
Isethionic acid_13C-0,Isethionic acid,Fate1,50,Smp,C,3.6107882379310654,900,2,50,14,0.892538708573387
Isethionic acid_13C-0,Isethionic acid,Fate1,8,Smp,A,3.030433401329656,1600,2,9,4.5,0.7490827310300066
Isethionic acid_13C-0,Isethionic acid,Fate1,8,Smp,B,1.7549202586571242,1600,2,9,4.5,0.433792889003259
Isethionic acid_13C-0,Isethionic acid,Fate1,8,Smp,C,2.0256236672328827,1600,2,9,4.5,0.5007071622244056
Isethionic acid_13C-0,Isethionic acid,Fate1,96,Smp,A,5.882712126983662,800,1.9,98,48,1.5306610543459667
Isethionic acid_13C-0,Isethionic acid,Fate1,96,Smp,B,7.316419545826852,800,1.8,98,48,2.00946817718643
Isethionic acid_13C-0,Isethionic acid,Fate1,96,Smp,C,8.05542314391835,800,2,98,48,1.9911931955346973
Isethionic acid_13C-0,Isethionic acid,Fate2,0,Smp,A,1.078153984046429,700,2,0.3,0,0.26650528946982327
Isethionic acid_13C-0,Isethionic acid,Fate2,0,Smp,B,1.3240232097697455,700,2,0.3,0,0.3272808838122842
Isethionic acid_13C-0,Isethionic acid,Fate2,0,Smp,C,0.9027246451279884,700,2,0.3,0,0.22314149594703706
Isethionic acid_13C-0,Isethionic acid,Fate2,12,Smp,A,1.3814955792613017,1900,2,13,7,0.341487287252337
Isethionic acid_13C-0,Isethionic acid,Fate2,12,Smp,B,1.5625486729825613,1900,2,13,7,0.38624119797898276
Isethionic acid_13C-0,Isethionic acid,Fate2,12,Smp,C,1.3721503732185407,1900,2,13,7,0.33917727692131366
Isethionic acid_13C-0,Isethionic acid,Fate2,24,Smp,A,1.5696182431444325,700,2,25,12,0.3879887014620618
Isethionic acid_13C-0,Isethionic acid,Fate2,24,Smp,B,1.6786893576954327,700,2,25,12,0.4149496266975417
Isethionic acid_13C-0,Isethionic acid,Fate2,24,Smp,C,1.5630681671909168,700,2,25,12,0.38636961002069875
Isethionic acid_13C-0,Isethionic acid,Fate2,48,Smp,A,1.850076488548294,900,2,51,26,0.4573142402826243
Isethionic acid_13C-0,Isethionic acid,Fate2,48,Smp,B,1.910907830031827,900,2,51,26,0.47235093681280055
Isethionic acid_13C-0,Isethionic acid,Fate2,48,Smp,C,1.7070441459687635,900,2,51,26,0.42195855229486545
Isethionic acid_13C-0,Isethionic acid,Fate2,5,Smp,A,1.0133563856081629,1300,2,6,5.75,0.2504881871038631
Isethionic acid_13C-0,Isethionic acid,Fate2,5,Smp,B,2.33974383711898,1300,2,6,5.75,0.5783534799513169
Isethionic acid_13C-0,Isethionic acid,Fate2,5,Smp,C,1.0292451752688936,1300,2,6,5.75,0.2544156840574669
Isethionic acid_13C-0,Isethionic acid,Fate2,96,Smp,A,1.815441336022413,1000,2,100,49,0.44875289238026017
Isethionic acid_13C-0,Isethionic acid,Fate2,96,Smp,B,2.1559222194776404,1000,2,100,49,0.5329152270252797
Isethionic acid_13C-0,Isethionic acid,Fate2,96,Smp,C,1.9794948821851108,1000,2,100,49,0.48930474161106363
Isethionic acid_13C-0,Isethionic acid,Fate1,NA,Blk,A,NA,NA,NA,NA,NA,NA
Isethionic acid_13C-0,Isethionic acid,Fate1,NA,Blk,B,NA,NA,NA,NA,NA,NA
Trehalose_13C-0,Trehalose,Fate1,0,Smp,A,0.09337757264590153,900,2,0.5,0,0.023081690923764917
Trehalose_13C-0,Trehalose,Fate1,0,Smp,B,0.028392289975643043,900,2,0.5,0,0.007018195518112618
Trehalose_13C-0,Trehalose,Fate1,0,Smp,C,0.19468690485692405,900,1.95,0.5,0,0.04935795595408568
Trehalose_13C-0,Trehalose,Fate1,12,Smp,A,0.10858212681257283,1930,2,12.5,3.5,0.026840053986377167
