MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,0,Smp,A,0.03091898687684418
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,0,Smp,B,0.029293551624538484
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,0,Smp,C,0.04211177242693726
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,12,Smp,A,0.022124420384140763
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,12,Smp,B,0.01474753176543515
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,12,Smp,C,0.020651916981707555
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,36,Smp,A,0.023836358733426072
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,36,Smp,B,0.03594407269371341
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,36,Smp,C,0.03128732195882693
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,4,Smp,A,0.026192342542879967
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,4,Smp,B,0.03475162072760873
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,4,Smp,C,0.02860067304622397
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,50,Smp,A,0.029540605864489995
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,50,Smp,B,0.017518682938776318
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,50,Smp,C,0.022448601019012745
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,8,Smp,A,0.017074393829336006
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,8,Smp,B,0.02674297521740485
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,8,Smp,C,0.02519792545217035
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,96,Smp,A,0.02460132171428047
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,96,Smp,B,0.040557308158231616
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,96,Smp,C,0.034131820058612324
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,0,Smp,A,0.04335106936046251
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,0,Smp,B,0.031726124375094776
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,0,Smp,C,0.01883966615937951
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,12,Smp,A,0.016073229988370605
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,12,Smp,B,0.02486925606881966
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,12,Smp,C,0.020343128453054908
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,24,Smp,A,0.023439162066357235
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,24,Smp,B,0.022817909387098736
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,24,Smp,C,0.02870438494839913
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,48,Smp,A,0.01581037938097111
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,48,Smp,B,0.018244208412924096
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,48,Smp,C,0.016906591372016656
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,5,Smp,A,0.03066987234176573
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,5,Smp,B,0.025876874175253348
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,5,Smp,C,0.013475583921497147
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,96,Smp,A,0.019115726904275467
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,96,Smp,B,0.014060798619245914
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate2,96,Smp,C,0.012413165007706034
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,NA,Blk,A,NA
(3-Carboxypropyl)trimethylammonium_13C-0 15N-0,(3-Carboxypropyl)trimethylammonium,Fate1,NA,Blk,B,NA
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,0,Smp,A,0.4269587939518353
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,0,Smp,B,0.681552328583185
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,0,Smp,C,0.32556619865624226
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,12,Smp,A,1.7737182568162426
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,12,Smp,B,1.6596503339737236
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,12,Smp,C,1.9323996796783032
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,24,Smp,A,3.106500889644278
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,24,Smp,B,1.9228977631615756
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,24,Smp,C,1.9919866485424857
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,48,Smp,A,2.586345167463882
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,48,Smp,B,2.4021289425239916
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,48,Smp,C,3.6677833170954193
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,5,Smp,A,0.8915256434649936
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,5,Smp,B,1.1531001899895548
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,5,Smp,C,0.789756485023986
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,96,Smp,A,1.9493676735624181
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,96,Smp,B,1.4906804750483789
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate2,96,Smp,C,2.1739389387579258
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,0,Smp,A,3.3405751838037823
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,0,Smp,B,1.580705411775038
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,0,Smp,C,2.5447958487838087
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,12,Smp,A,3.0521149280096926
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,12,Smp,B,2.5295716631125282
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,12,Smp,C,3.080581003116102
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,36,Smp,A,8.790349494543745
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,36,Smp,B,6.187733112411526
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,36,Smp,C,10.13949608651644
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,4,Smp,A,1.7805088079774611
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,4,Smp,B,4.811854443000374
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,4,Smp,C,2.0917154592964167
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,50,Smp,A,7.603948526926913
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,50,Smp,B,5.845019912739972
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,50,Smp,C,5.240057592171254
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,8,Smp,A,2.9020750792866834
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,8,Smp,B,3.939571806536512
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,8,Smp,C,3.422875377158711
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,96,Smp,A,10.353011176988419
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,96,Smp,B,8.290149456391886
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,96,Smp,C,16.479004401285152
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,NA,Blk,A,NA
2-O-alpha-D-Glucosylglycerol_13C-0,Glucosylglycerol,Fate1,NA,Blk,B,NA
Adenine_13C-0 15N-0,Adenine,Fate1,0,Smp,A,0.10437835901020533
Adenine_13C-0 15N-0,Adenine,Fate1,0,Smp,B,0.039116399169878635
Adenine_13C-0 15N-0,Adenine,Fate1,0,Smp,C,0.08831998653990983
Adenine_13C-0 15N-0,Adenine,Fate1,12,Smp,A,0.08199668807392028
Adenine_13C-0 15N-0,Adenine,Fate1,12,Smp,B,0.13527591117597168
Adenine_13C-0 15N-0,Adenine,Fate1,12,Smp,C,0.15826429684774673
Adenine_13C-0 15N-0,Adenine,Fate1,36,Smp,A,0.15660320377933787
Adenine_13C-0 15N-0,Adenine,Fate1,36,Smp,B,0.09721780468586647
Adenine_13C-0 15N-0,Adenine,Fate1,36,Smp,C,0.11347105436789492
Adenine_13C-0 15N-0,Adenine,Fate1,4,Smp,A,0.04856554163541582
Adenine_13C-0 15N-0,Adenine,Fate1,4,Smp,B,0.13361171117094509
Adenine_13C-0 15N-0,Adenine,Fate1,4,Smp,C,0.0564780996879762
Adenine_13C-0 15N-0,Adenine,Fate1,50,Smp,A,0.12955369058989064
Adenine_13C-0 15N-0,Adenine,Fate1,50,Smp,B,0.1496676736980646
Adenine_13C-0 15N-0,Adenine,Fate1,50,Smp,C,0.15373645362281907
Adenine_13C-0 15N-0,Adenine,Fate1,8,Smp,A,0.0401874853599078
Adenine_13C-0 15N-0,Adenine,Fate1,8,Smp,B,0.04803085863228699
Adenine_13C-0 15N-0,Adenine,Fate1,8,Smp,C,0.06749587168758248
Adenine_13C-0 15N-0,Adenine,Fate1,96,Smp,A,0.1625866790853505
Adenine_13C-0 15N-0,Adenine,Fate1,96,Smp,B,0.06391117796756408
Adenine_13C-0 15N-0,Adenine,Fate1,96,Smp,C,0.06046692250089082
Adenine_13C-0 15N-0,Adenine,Fate2,0,Smp,A,0.12809721937535065
Adenine_13C-0 15N-0,Adenine,Fate2,0,Smp,B,0.17445778512209972
Adenine_13C-0 15N-0,Adenine,Fate2,0,Smp,C,0.09303484971412689
Adenine_13C-0 15N-0,Adenine,Fate2,12,Smp,A,0.03726886551290508
Adenine_13C-0 15N-0,Adenine,Fate2,12,Smp,B,0.054695042901267206
Adenine_13C-0 15N-0,Adenine,Fate2,12,Smp,C,0.14151871635847996
Adenine_13C-0 15N-0,Adenine,Fate2,24,Smp,A,0.18283036431759975
Adenine_13C-0 15N-0,Adenine,Fate2,24,Smp,B,0.09175761616669206
Adenine_13C-0 15N-0,Adenine,Fate2,24,Smp,C,0.13190595832608276
Adenine_13C-0 15N-0,Adenine,Fate2,48,Smp,A,0.07079942543569868
Adenine_13C-0 15N-0,Adenine,Fate2,48,Smp,B,0.13870416498991378
Adenine_13C-0 15N-0,Adenine,Fate2,48,Smp,C,0.17770039819964079
Adenine_13C-0 15N-0,Adenine,Fate2,5,Smp,A,0.12807378868275202
Adenine_13C-0 15N-0,Adenine,Fate2,5,Smp,B,0.024112846229794607
Adenine_13C-0 15N-0,Adenine,Fate2,5,Smp,C,0.10617431122250531
Adenine_13C-0 15N-0,Adenine,Fate2,96,Smp,A,0.039858848639111
Adenine_13C-0 15N-0,Adenine,Fate2,96,Smp,B,0.14719763203735736
Adenine_13C-0 15N-0,Adenine,Fate2,96,Smp,C,0.1834182219119075
Adenine_13C-0 15N-0,Adenine,Fate1,NA,Blk,A,NA
Adenine_13C-0 15N-0,Adenine,Fate1,NA,Blk,B,NA
Adenosine_13C-0 15N-0,Adenosine,Fate1,0,Smp,A,0.2219943784570005
Adenosine_13C-0 15N-0,Adenosine,Fate1,0,Smp,B,0.06880860842546506
Adenosine_13C-0 15N-0,Adenosine,Fate1,0,Smp,C,0.1764265347677384
Adenosine_13C-0 15N-0,Adenosine,Fate1,12,Smp,A,0.13034643690928177
Adenosine_13C-0 15N-0,Adenosine,Fate1,12,Smp,B,0.12901484974376326
