Protein Name,Precursor Ion Name,Fraction1,BestMatch,IE.rsd,IE,RF
"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",HILICNeg,DHPS,0.36579077630450874,85421666,0.6949397006609541
Isethionic acid,Isethionic acid_13C-0,HILICNeg,Isethionic acid,0.42982158042385915,109063004,0.8547192776754985
Sucrose,Sucrose_13C-0,HILICNeg,Sucrose,0.27493114447048334,10888180,1.0181724769428866
Trehalose,Trehalose_13C-0,HILICNeg,Trehalose,0.2069996511707288,11678322,0.9012925936620004
