Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,all.area,MID
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,253220,0,62140,CyanoAq,0,0,200612,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,253220,232.154884,1.34,RP,24174,229046,229046,245416,0.9332969325553346
Butyrylcarnitine,200612_Smp_GBTFate1MT4-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,194126,0,49441,CyanoAq,0,0,200612,Smp,GBTFate1MT4,pos,C,4,Fate1,ok,ok,ok,ok,all ok,194126,232.154884,1.34,RP,24174,169952,169952,169952,1
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,383660,0,111038,CyanoAq,0,0,200612,Smp,GBTFate1MT50,pos,A,50,Fate1,ok,ok,ok,ok,all ok,383660,232.154884,1.34,RP,24174,359486,359486,376502,0.954805020956064
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_B,Butyrylcarnitine_13C-0 15N-0,1.36,389059,0,109173,CyanoAq,0,0,200612,Smp,GBTFate1MT50,pos,B,50,Fate1,ok,ok,ok,ok,all ok,389059,232.154884,1.34,RP,24174,364885,364885,384635,0.9486526187164455
Butyrylcarnitine,200612_Smp_GBTFate1MT50-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,273098,0,80711,CyanoAq,0,0,200612,Smp,GBTFate1MT50,pos,C,50,Fate1,ok,ok,ok,ok,all ok,273098,232.154884,1.34,RP,24174,248924,248924,266267,0.9348661306132566
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,1430017,0,474018,CyanoAq,0,0,200612,Smp,GBTFate1MTlong,pos,A,96,Fate1,ok,ok,ok,ok,all ok,1430017,232.154884,1.34,RP,24174,1405843,1405843,1511598,0.9300376158211376
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,1378710,2541,476330,CyanoAq,0,0,200612,Smp,GBTFate1MTlong,pos,B,96,Fate1,ok,ok,ok,ok,all ok,1378710,232.154884,1.34,RP,24174,1354536,1354536,1475476,0.9180332313097603
Butyrylcarnitine,200612_Smp_GBTFate1MTlong-pos_C,Butyrylcarnitine_13C-0 15N-0,1.37,1797399,0,548033,CyanoAq,0,0,200612,Smp,GBTFate1MTlong,pos,C,96,Fate1,ok,ok,ok,ok,all ok,1797399,232.154884,1.34,RP,24174,1773225,1773225,1915589,0.9256813439626141
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_A,Butyrylcarnitine_13C-0 15N-0,1.37,118134,0,31642,CyanoAq,0,0,200612,Smp,GBTFate2MT0,pos,A,0,Fate2,ok,ok,ok,ok,all ok,118134,232.154884,1.34,RP,24174,93960,93960,96865,0.9700098074639962
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_B,Butyrylcarnitine_13C-0 15N-0,1.37,159291,0,26691,CyanoAq,0,0,200612,Smp,GBTFate2MT0,pos,B,0,Fate2,ok,ok,ok,ok,all ok,159291,232.154884,1.34,RP,24174,135117,135117,135117,1
Butyrylcarnitine,200612_Smp_GBTFate2MT0-pos_C,Butyrylcarnitine_13C-0 15N-0,1.33,108119,0,24037,CyanoAq,0,0,200612,Smp,GBTFate2MT0,pos,C,0,Fate2,ok,ok,ok,ok,all ok,108119,232.154884,1.34,RP,24174,83945,83945,83945,1
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_A,Butyrylcarnitine_13C-0 15N-0,1.35,95338,0,25351,CyanoAq,0,0,200612,Smp,GBTFate2MT12,pos,A,12,Fate2,ok,ok,ok,ok,all ok,95338,232.154884,1.34,RP,24174,71164,71164,71164,1
Butyrylcarnitine,200612_Smp_GBTFate2MT12-pos_B,Butyrylcarnitine_13C-0 15N-0,1.34,107036,0,21936,CyanoAq,0,0,200612,Smp,GBTFate2MT12,pos,B,12,Fate2,ok,ok,ok,ok,all ok,107036,232.154884,1.34,RP,24174,82862,82862,86856,0.9540158423137146
