MassFeature,ave
"Adenine, 15N2 - IS",922422043.6078432
"Arsenobetaine, 13C2 - IS",1083546283.9215686
"Cytosine, 13C2-15N3 - IS",212297967.52941176
Dil.Factor,1
"DL-Alanine, D3 - IS",31910912.88235294
"DL-Histidine, 15N - IS",66801109.568627454
"DL-Proline, D7 - IS",54529724.23529412
"DL-Valine, D8 - IS",8855771.509803921
"Guanine, 13C-15N2 - IS",201745006.27450982
"L-Isoleucine, 15N - IS",11134514.352941176
"L-Methionine, D3 - IS",29999722.411764707
