type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT36,Fate1,36,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9902367196230134,0.008924237789456835,283179405,53552020.6645123
Smp,GBTFate1MT36,Fate1,36,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,1109376.3333333333,1690142.8422678758
Smp,GBTFate1MT36,Fate1,36,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.004165665304004544,0.0016408785637638363,521140.3333333333,290863.8506248814
Smp,GBTFate1MT36,Fate1,36,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.009763280376986533,0.008924237789456814,2623618,2585405.136980276
Smp,GBTFate1MT36,Fate1,36,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT36,Fate1,36,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9874639045612118,0.001379647865752075,84928816,22088854.940068576
Smp,GBTFate1MT36,Fate1,36,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.98902348105155,9.03306559559408e-4,236638893,64293079.33507842
Smp,GBTFate1MT36,Fate1,36,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,186140.33333333334,180724.1153425113
Smp,GBTFate1MT36,Fate1,36,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.01253609543878818,0.001379647865752071,1096798.6666666667,386626.1957657982
Smp,GBTFate1MT36,Fate1,36,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.010976518948449955,9.033065595593992e-4,2659350.6666666665,882850.1523374923
Smp,GBTFate1MT36,Fate1,36,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT4,Fate1,4,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9995632732073618,7.564329938759179e-4,68717224,27937446.431668878
Smp,GBTFate1MT4,Fate1,4,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9896745447365454,0.00605406157662809,148340754.33333334,33721091.22340173
Smp,GBTFate1MT4,Fate1,4,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,389638,562193.8736494733
