MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,A,0.3327000709904421
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,B,0.5123276698335743
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate1,96,Smp,C,0.4636796361545822
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,A,0.1157889236397511
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,B,0.08504566029148417
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,0,Smp,C,0.0932128165045842
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,A,0.14659551549853145
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,B,0.11137240493599243
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,12,Smp,C,0.16349758592635655
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,24,Smp,A,0.12695794799911633
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,24,Smp,B,0.09991135713720435
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,24,Smp,C,0.14664001020116005
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,48,Smp,A,0.15632964901525648
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,48,Smp,B,0.16782671163403057
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,48,Smp,C,0.2122860231249982
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,5,Smp,A,0.09370467964820615
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,5,Smp,B,0.11824588543496783
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,5,Smp,C,0.06741769823488797
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,96,Smp,A,0.15460836083053994
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,96,Smp,B,0.13457909288472228
L-Phenylalanine_13C-0 15N-0,L-Phenylalanine,Fate2,96,Smp,C,0.16847382599145092
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,0,Smp,A,0.03998489469530046
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,0,Smp,B,0.012555108674337265
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,0,Smp,C,0.04940516601962168
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,12,Smp,A,0.051725077460247716
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,12,Smp,B,0.04645878597215975
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,12,Smp,C,0.04689443384029729
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,36,Smp,A,0.11065012126970664
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,36,Smp,B,0.08755866172858845
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,36,Smp,C,0.13752309752416766
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,4,Smp,A,0.03850522047493147
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,4,Smp,B,0.05739880760414883
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,4,Smp,C,0.04552484276202866
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,50,Smp,A,0.10826426236766577
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,50,Smp,B,0.07048089948635859
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,50,Smp,C,0.05644658453432759
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,8,Smp,A,0.03589366488240838
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,8,Smp,B,0.0867333924835256
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,8,Smp,C,0.07832238839366752
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,96,Smp,A,0.16011821509534047
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,96,Smp,B,0.22693159558398215
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate1,96,Smp,C,0.14211490949151862
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,0,Smp,A,0.03176110186617793
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,0,Smp,B,0.02477563341695916
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,0,Smp,C,0.0232012195731669
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,12,Smp,A,0.05024517180926888
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,12,Smp,B,0.04104185135742659
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,12,Smp,C,0.0560903978900694
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,24,Smp,A,0.05340536365787089
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,24,Smp,B,0.05069893245573175
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,24,Smp,C,0.04462841711183879
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,48,Smp,A,0.056355860887208946
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,48,Smp,B,0.05366607971903686
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,48,Smp,C,0.06705830748832373
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,5,Smp,A,0.025539976869061436
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,5,Smp,B,0.03364936461424744
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,5,Smp,C,0.02549383476024085
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,96,Smp,A,0.06223400250023416
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,96,Smp,B,0.06016738779697886
L-Tryptophan_13C-0 15N-0,L-Tryptophan,Fate2,96,Smp,C,0.0575952487046249
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,0,Smp,A,0.0016404282062302202
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,0,Smp,B,5.189602587469566e-4
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,0,Smp,C,0.0023596051396600854
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,12,Smp,A,0.0018029001687676167
Methylthioadenosine_13C-0 15N-0,Methylthioadenosine,Fate1,12,Smp,B,0.0022579793118700127
