"","MassFeature","Orig_RSD","del_RSD","percentChange","FinalBMIS","FinalRSD","Run.Cmpd","MIS","Adjusted_Area","SampID","type","runDate","replicate","OriginalArea"
"16","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Poo_QC2_4 (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",390811550.161138,"QC2","Poo","200605","4",189101136
"17","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Poo_QC2_5 (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",334014967.103186,"QC2","Poo","200605","5",210651968
"18","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT0-IS_A (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",74251656.3711605,"GBTFate1MT0-IS","Smp","200605","A",90480544
"19","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT0-IS_B (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",73258958.5429689,"GBTFate1MT0-IS","Smp","200605","B",76511056
"20","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT0-IS_C (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",119278055.512272,"GBTFate1MT0-IS","Smp","200605","C",119084992
"21","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT12-IS_A (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",109482253.542396,"GBTFate1MT12-IS","Smp","200605","A",101154688
"22","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT12-IS_B (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",46140998.3740546,"GBTFate1MT12-IS","Smp","200605","B",47406452
"23","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT12-IS_C (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",84597369.694499,"GBTFate1MT12-IS","Smp","200605","C",83411552
"24","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT36-IS_A (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",128589321.866553,"GBTFate1MT36-IS","Smp","200605","A",116263496
"25","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT36-IS_B (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",95182358.3963796,"GBTFate1MT36-IS","Smp","200605","B",86558568
"26","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT36-IS_C (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",131287237.538796,"GBTFate1MT36-IS","Smp","200605","C",150134896
"27","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT4-IS_A (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",45657425.7176715,"GBTFate1MT4-IS","Smp","200605","A",37666720
"28","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT4-IS_B (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",88984105.164903,"GBTFate1MT4-IS","Smp","200605","B",91818792
"29","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT4-IS_C (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",93991879.4918384,"GBTFate1MT4-IS","Smp","200605","C",76666160
"30","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT50-IS_A (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",149841921.345175,"GBTFate1MT50-IS","Smp","200605","A",146138080
"31","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT50-IS_B (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",128482574.380021,"GBTFate1MT50-IS","Smp","200605","B",134850528
"32","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT50-IS_C (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",165925880.833674,"GBTFate1MT50-IS","Smp","200605","C",215392768
"33","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",0.292993280706796,0.180720932840581,0.616809137754365,"Isethionic Acid, 13C2 - IS.Norm.Area",0.112272347866214,"200605_Smp_GBTFate1MT8-IS_A (R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","Isethionic Acid, 13C2 - IS.Norm.Area",108651359.733577,"GBTFate1MT8-IS","Smp","200605","A",69030472
